Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
249,Nashon Ellerbe,Rice,CUSA,12,85,409,4.8,6,34.1,4,47,11.8,0,3.9,89,456,5.1,6,,nashon-ellerbe-1
250,Lavon Coleman*,Washington,Pac-12,12,89,407,4.6,4,33.9,13,155,11.9,3,12.9,102,562,5.5,7,,lavon-coleman-1
251,Jaylen Samuels*,North Carolina State,ACC,13,77,403,5.2,12,31.0,76,597,7.9,4,45.9,153,1000,6.5,16,,jaylen-samuels-1
252,Austin Walter,Rice,CUSA,12,69,400,5.8,4,33.3,18,219,12.2,1,18.3,87,619,7.1,5,,austin-walter-1
253,Jacob Stafford,Air Force,MWC,12,67,398,5.9,1,33.2,3,33,11.0,0,2.8,70,431,6.2,1,,jacob-stafford-1
254,Qadree Ollison,Pitt,ACC,12,90,398,4.4,5,33.2,23,194,8.4,2,16.2,113,592,5.2,7,,oadree-ollison-1
255,James Butler*,Iowa,Big Ten,9,91,396,4.4,1,44.0,4,47,11.8,0,5.2,95,443,4.7,1,,james-butler-4
256,Arkeem Byrd*,Wake Forest,ACC,11,77,395,5.1,1,35.9,4,24,6.0,0,2.2,81,419,5.2,1,,arkeem-byrd-1
257,James Williams*,Washington State,Pac-12,13,92,395,4.3,1,30.4,71,482,6.8,3,37.1,163,877,5.4,4,,james-williams-13
258,LeVante Bellamy,Western Michigan,MAC,6,49,394,8.0,3,65.7,7,54,7.7,0,9.0,56,448,8.0,3,,levante-bellamy-1
259,Kylin Hill*,Mississippi State,SEC,13,78,393,5.0,2,30.2,4,38,9.5,0,2.9,82,431,5.3,2,,kylin-hill-1
260,Cameron Scarlett*,Stanford,Pac-12,14,91,389,4.3,8,27.8,6,174,29.0,0,12.4,97,563,5.8,8,,cameron-scarlett-1
261,Mulbah Car*,Houston,American,10,80,388,4.9,3,38.8,6,31,5.2,0,3.1,86,419,4.9,3,,mulbah-car-1
262,Salvon Ahmed*,Washington,Pac-12,13,61,388,6.4,3,29.8,13,77,5.9,0,5.9,74,465,6.3,3,,salvon-ahmed-1
263,Sam Ehlinger*,Texas,Big 12,9,114,385,3.4,2,42.8,2,50,25.0,0,5.6,116,435,3.8,2,,sam-ehlinger-1
264,Taven Birdow,Air Force,MWC,9,88,384,4.4,5,42.7,0,0,,0,0.0,88,384,4.4,5,,taven-birdow-1
265,D'Eriq King*,Houston,American,10,72,379,5.3,8,37.9,29,264,9.1,2,26.4,101,643,6.4,10,,deriq-king-1
266,Mikale Wilbon,Nebraska,Big Ten,11,88,379,4.3,6,34.5,21,80,3.8,0,7.3,109,459,4.2,6,,mikale-wilbon-1
267,J'mar Smith*,Louisiana Tech,CUSA,13,120,378,3.2,6,29.1,0,0,,0,0.0,120,378,3.2,6,,jmar-smith-1
268,Vic Enwere,California,Pac-12,12,101,377,3.7,5,31.4,5,37,7.4,0,3.1,106,414,3.9,5,,vic-enwere-1
269,Stephen Johnson*,Kentucky,SEC,13,103,375,3.6,5,28.8,1,32,32.0,0,2.5,104,407,3.9,5,,stephen-johnson-8
270,D'Andre Ferby*,Western Kentucky,CUSA,11,117,373,3.2,3,33.9,13,84,6.5,0,7.6,130,457,3.5,3,,dandre-ferby-1
271,Daniel Young*,Texas,Big 12,13,81,373,4.6,3,28.7,13,153,11.8,1,11.8,94,526,5.6,4,,daniel-young-1
272,Najee Harris*,Alabama,SEC,14,61,370,6.1,3,26.4,6,45,7.5,0,3.2,67,415,6.2,3,,najee-harris-1
273,Bilal Ally,Massachusetts,Ind,12,89,369,4.1,3,30.8,3,15,5.0,0,1.3,92,384,4.2,3,,bilal-ally-1
274,Shannon Brooks,Minnesota,Big Ten,6,79,369,4.7,5,61.5,5,59,11.8,0,9.8,84,428,5.1,5,,shannon-brooks-1
275,Deon McIntosh*,Notre Dame,Ind,8,65,368,5.7,5,46.0,3,8,2.7,0,1.0,68,376,5.5,5,,deon-mcintosh-1
