Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
34,David Bell,Purdue,Big Ten,12,86,1035,12.0,7,86.3,3,12,4.0,1,1.0,89,1047,11.8,8,,david-bell-6
35,Dyami Brown*,North Carolina,ACC,13,51,1034,20.3,12,79.5,1,2,2.0,0,0.2,52,1036,19.9,12,,dyami-brown-1
36,Trishton Jackson,Syracuse,ACC,12,66,1023,15.5,11,85.3,2,3,1.5,0,0.3,68,1026,15.1,11,,trishton-jackson-1
37,Denzel Mims*,Baylor,Big 12,14,66,1020,15.5,12,72.9,0,0,,0,0.0,66,1020,15.5,12,,denzel-mims-1
38,Dazz Newsome*,North Carolina,ACC,12,72,1018,14.1,10,84.8,3,9,3.0,0,0.8,75,1027,13.7,10,,dazz-newsome-1
39,Harrison Bryant*,Florida Atlantic,CUSA,13,65,1004,15.4,7,77.2,0,0,,0,0.0,65,1004,15.4,7,AA,harrison-bryant-1
40,Whop Philyor*,Indiana,Big Ten,12,70,1002,14.3,5,83.5,10,43,4.3,0,3.6,80,1045,13.1,5,,whop-philyor-1
41,Kendall Hinton*,Wake Forest,ACC,11,73,1001,13.7,4,91.0,2,9,4.5,0,0.8,75,1010,13.5,4,,kendall-hinton-1
42,Sage Surratt*,Wake Forest,ACC,9,66,1001,15.2,11,111.2,0,0,,0,0.0,66,1001,15.2,11,,sage-surratt-1
43,Siaosi Mariner*,Utah State,MWC,13,63,987,15.7,10,75.9,0,0,,0,0.0,63,987,15.7,10,,siaosi-mariner-1
44,Easop Winston*,Washington State,Pac-12,13,85,970,11.4,11,74.6,0,0,,0,0.0,85,970,11.4,11,,easop-winston-1
45,Jauan Jennings*,Tennessee,SEC,13,59,969,16.4,8,74.5,13,51,3.9,1,3.9,72,1020,14.2,9,,jauan-jennings-1
46,John Hightower*,Boise State,MWC,14,51,943,18.5,8,67.4,16,154,9.6,0,11.0,67,1097,16.4,8,,john-hightower-1
47,Elijah Cooks*,Nevada,MWC,13,76,926,12.2,8,71.2,0,0,,0,0.0,76,926,12.2,8,,elijah-cooks-1
48,Cody White*,Michigan State,Big Ten,13,66,922,14.0,6,70.9,6,22,3.7,0,1.7,72,944,13.1,6,,cody-white-3
49,Jason-Matthew Sharsh*,Hawaii,MWC,15,87,913,10.5,5,60.9,3,13,4.3,0,0.9,90,926,10.3,5,,jason-matthew-sharsh-1
50,Tyler Vaughns*,USC,Pac-12,13,74,912,12.3,6,70.2,0,0,,0,0.0,74,912,12.3,6,,tyler-vaughns-1
51,Victor Tucker*,Charlotte,CUSA,13,52,909,17.5,7,69.9,3,18,6.0,1,1.4,55,927,16.9,8,,victor-tucker-1
52,C.J. Johnson,East Carolina,American,12,54,908,16.8,4,75.7,0,0,,0,0.0,54,908,16.8,4,,cj-johnson-6
53,Marquez Stevenson,Houston,American,12,52,907,17.4,9,75.6,9,89,9.9,0,7.4,61,996,16.3,9,,marquez-stevenson-1
54,Ja'Marcus Bradley*,Louisiana,Sun Belt,14,60,906,15.1,10,64.7,0,0,,0,0.0,60,906,15.1,10,,jamarcus-bradley-1
55,Branden Mack*,Temple,American,13,59,904,15.3,7,69.5,2,14,7.0,0,1.1,61,918,15.0,7,,branden-mack-1
56,KJ Hamler*,Penn State,Big Ten,13,56,904,16.1,8,69.5,13,43,3.3,0,3.3,69,947,13.7,8,,kj-hamler-1
57,Tylan Wallace*,Oklahoma State,Big 12,9,53,903,17.0,8,100.3,1,0,0.0,0,0.0,54,903,16.7,8,,tylan-wallace-1
