Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
257,Darius Wade*,Boston College,ACC,9,9,19,47.4,100,0,0.0,1,5.3,5.3,2.89,11.1,11.1,81.1,,darius-wade-1
258,J.T. Granato,Rice,CUSA,4,8,19,42.1,96,0,0.0,2,10.5,5.1,0.32,12.0,24.0,63.5,,jt-granato-1
259,Tristan Payton*,UCF,American,10,2,4,50.0,96,1,25.0,0,0.0,24.0,29.00,48.0,9.6,334.1,,tristan-payton-1
260,Ryan Rubley*,Tulsa,American,4,7,11,63.6,92,1,9.1,0,0.0,8.4,10.18,13.1,23.0,163.9,,ryan-rubley-1
261,Thomas Sperbeck*,Boise State,MWC,13,3,3,100.0,92,3,100.0,0,0.0,30.7,50.67,30.7,7.1,687.6,,thomas-sperbeck-1
262,Dante Pettis*,Washington,Pac-12,14,2,4,50.0,89,1,25.0,0,0.0,22.3,27.25,44.5,6.4,319.4,,dante-pettis-1
263,Conor Rhoda*,Minnesota,Big Ten,3,8,16,50.0,88,1,6.3,0,0.0,5.5,6.75,11.0,29.3,116.8,,conor-rhoda-1
264,Cedrick Wilson Jr.*,Boise State,MWC,13,2,2,100.0,84,1,50.0,0,0.0,42.0,52.00,42.0,6.5,617.8,,cedrick-wilson-2
265,Dontae Strickland,Syracuse,ACC,12,1,1,100.0,84,1,100.0,0,0.0,84.0,104.00,84.0,7.0,1135.6,,dontae-strickland-2
266,Jalen Nixon*,Louisiana,Sun Belt,7,8,13,61.5,84,0,0.0,0,0.0,6.5,6.46,10.5,12.0,115.8,,jalen-nixon-1
267,Matt Morin,Arizona,Pac-12,11,4,8,50.0,84,1,12.5,1,12.5,10.5,7.38,21.0,7.6,154.5,,matt-morin-1
268,Brenden Motley*,Virginia Tech,ACC,8,9,20,45.0,81,1,5.0,0,0.0,4.1,5.05,9.0,10.1,95.5,,brenden-motley-1
269,Richie James*,Middle Tennessee State,CUSA,13,6,7,85.7,80,0,0.0,0,0.0,11.4,11.43,13.3,6.2,181.7,,richie-james-1
270,Wade Freebeck*,Vanderbilt,SEC,3,6,13,46.2,77,0,0.0,1,7.7,5.9,2.46,12.8,25.7,80.5,,wade-freebeck-1
271,Malik McGue*,Army,Ind,11,4,6,66.7,76,1,16.7,1,16.7,12.7,8.50,19.0,6.9,194.7,,malik-mcgue-1
272,Dennis Andrews*,Middle Tennessee State,CUSA,13,2,3,66.7,73,0,0.0,0,0.0,24.3,24.33,36.5,5.6,271.1,,dennis-andrews-3
273,Garrett Anderson,Connecticut,American,8,8,16,50.0,69,0,0.0,0,0.0,4.3,4.31,8.6,8.6,86.2,,garrett-anderson-2
274,Damion Hobbs,Utah State,MWC,10,8,19,42.1,68,0,0.0,1,5.3,3.6,1.21,8.5,6.8,61.6,,damion-hobbs-1
275,Nate German,Rice,CUSA,11,5,8,62.5,68,0,0.0,0,0.0,8.5,8.50,13.6,6.2,133.9,,nate-german-1
276,Bryce Bobo*,Colorado,Pac-12,13,1,1,100.0,67,1,100.0,0,0.0,67.0,87.00,67.0,5.2,992.8,,bryce-bobo-1
277,Michael Julian*,Toledo,MAC,4,2,5,40.0,67,1,20.0,0,0.0,13.4,17.40,33.5,16.8,218.6,,michael-julian-1
278,Cameron Echols-Luper*,Arkansas State,Sun Belt,13,2,3,66.7,66,1,33.3,0,0.0,22.0,28.67,33.0,5.1,361.5,,cameron-echols-luper-1
279,Gavin Locklear*,North Carolina State,ACC,12,2,3,66.7,66,0,0.0,0,0.0,22.0,22.00,33.0,5.5,251.5,,gavin-locklear-1
