Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
305,Jayden Daniels,Arizona State,Pac-12,4,33,223,6.8,4,55.8,0,0,,0,0.0,33,223,6.8,4,,jayden-daniels-1
306,Matt Laroche,Georgia Southern,Sun Belt,13,45,223,5.0,0,17.2,4,9,2.3,0,0.7,49,232,4.7,0,,matt-laroche-1
307,Juwuan Price,New Mexico State,Ind,2,33,222,6.7,1,111.0,5,7,1.4,0,3.5,38,229,6.0,1,,juwuan-price-1
308,Michael Wiley,Arizona,Pac-12,5,31,222,7.2,3,44.4,8,33,4.1,0,6.6,39,255,6.5,3,,michael-wiley-3
309,Jordon Simmons,Michigan State,Big Ten,5,56,219,3.9,0,43.8,5,34,6.8,0,6.8,61,253,4.1,0,,jordon-simmons-1
310,Daijun Edwards,Georgia,SEC,9,37,218,5.9,1,24.2,1,3,3.0,0,0.3,38,221,5.8,1,,daijun-edwards-1
311,Jaxson Kincaide,Western Michigan,MAC,5,31,218,7.0,2,43.6,5,44,8.8,0,8.8,36,262,7.3,2,,jaxson-kincaide-1
312,Emory Jones,Florida,SEC,9,32,217,6.8,2,24.1,0,0,,0,0.0,32,217,6.8,2,,emory-jones-1
313,Xavier Williams,Kent State,MAC,4,27,216,8.0,3,54.0,0,0,,0,0.0,27,216,8.0,3,,xavier-williams-2
314,Nay'quan Wright,Florida,SEC,11,54,213,3.9,2,19.4,19,219,11.5,0,19.9,73,432,5.9,2,,nayquan-wright-1
315,Knowledge McDaniel,Marshall,CUSA,9,35,212,6.1,2,23.6,0,0,,0,0.0,35,212,6.1,2,,knowledge-mcdaniel-1
316,Joshua Fields,UTEP,CUSA,8,67,211,3.1,1,26.4,2,12,6.0,0,1.5,69,223,3.2,1,,joshua-fields-1
317,A'Jon Vivens,Colorado State,MWC,4,49,210,4.3,1,52.5,1,1,1.0,0,0.3,50,211,4.2,1,,ajon-vivens-1
318,Xavier Arline,Navy,American,5,59,210,3.6,0,42.0,0,0,,0,0.0,59,210,3.6,0,,xavier-arline-1
319,Evan Hull,Northwestern,Big Ten,9,25,209,8.4,2,23.2,6,41,6.8,0,4.6,31,250,8.1,2,,evan-hull-2
320,Jaylan Knighton,Miami (FL),ACC,9,52,209,4.0,1,23.2,11,135,12.3,1,15.0,63,344,5.5,2,,jaylan-knighton-1
321,Micah Kelly,Toledo,MAC,6,44,208,4.7,2,34.7,5,24,4.8,0,4.0,49,232,4.7,2,,micah-kelly-1
322,Sam Noyer,Colorado,Pac-12,6,52,208,4.0,5,34.7,0,0,,0,0.0,52,208,4.0,5,,sam-noyer-1
323,Darius Maberry,Southern Mississippi,CUSA,6,37,207,5.6,2,34.5,0,0,,0,0.0,37,207,5.6,2,,darius-maberry-1
