Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
18,Demarcus Ayers*,Houston,American,14,98,1222,12.5,6,87.3,25,147,5.9,1,10.5,123,1369,11.1,7,,demarcus-ayers-1
19,Gabe Marks*,Washington State,Pac-12,13,104,1192,11.5,15,91.7,0,0,,0,0.0,104,1192,11.5,15,,gabe-marks-1
20,Isaiah Ford*,Virginia Tech,ACC,13,75,1164,15.5,11,89.5,7,51,7.3,0,3.9,82,1215,14.8,11,,isaiah-ford-1
21,Laquon Treadwell*,Ole Miss,SEC,13,82,1153,14.1,11,88.7,1,-5,-5.0,0,-0.4,83,1148,13.8,11,,laquon-treadwell-1
22,Kenny Golladay*,Northern Illinois,MAC,14,73,1129,15.5,10,80.6,9,14,1.6,1,1.0,82,1143,13.9,11,,kenny-golladay-1
23,Jordan Payton*,UCLA,Pac-12,13,78,1106,14.2,5,85.1,0,0,,0,0.0,78,1106,14.2,5,,jordan-payton-1
24,Chris Godwin*,Penn State,Big Ten,13,69,1101,16.0,5,84.7,0,0,,0,0.0,69,1101,16.0,5,,chris-godwin-1
25,Zay Jones,East Carolina,American,12,98,1099,11.2,5,91.6,1,-6,-6.0,0,-0.5,99,1093,11.0,5,,isaiah-jones-2
26,Penny Hart*,Georgia State,Sun Belt,13,71,1099,15.5,8,84.5,3,11,3.7,0,0.8,74,1110,15.0,8,,penny-hart-1
27,James Washington*,Oklahoma State,Big 12,13,53,1087,20.5,10,83.6,1,10,10.0,0,0.8,54,1097,20.3,10,,james-washington-5
28,Devin Lucien*,Arizona State,Pac-12,13,66,1075,16.3,8,82.7,0,0,,0,0.0,66,1075,16.3,8,,devin-lucien-1
29,Joshua Atkinson*,Tulsa,American,13,76,1071,14.1,5,82.4,0,0,,0,0.0,76,1071,14.1,5,,joshua-atkinson-1
30,Rashard Higgins*,Colorado State,MWC,12,75,1062,14.2,8,88.5,1,20,20.0,0,1.7,76,1082,14.2,8,,rashard-higgins-1
31,Nelson Spruce,Colorado,Pac-12,13,89,1053,11.8,4,81.0,0,0,,0,0.0,89,1053,11.8,4,,nelson-spruce-1
32,Ed'Marques Batties*,Middle Tennessee State,CUSA,13,82,1048,12.8,13,80.6,0,0,,0,0.0,82,1048,12.8,13,,edmarques-batties-1
33,Calvin Ridley*,Alabama,SEC,15,89,1045,11.7,7,69.7,1,2,2.0,0,0.1,90,1047,11.6,7,,calvin-ridley-1
34,Dom Williams*,Washington State,Pac-12,13,75,1040,13.9,11,80.0,0,0,,0,0.0,75,1040,13.9,11,,dom-williams-1
35,Simmie Cobbs*,Indiana,Big Ten,13,60,1035,17.3,4,79.6,0,0,,0,0.0,60,1035,17.3,4,,simmie-cobbs-1
36,Gehrig Dieter*,Bowling Green,MAC,14,94,1033,11.0,10,73.8,1,-2,-2.0,0,-0.1,95,1031,10.9,10,,gehrig-dieter-1
37,Christian Kirk*,Texas A&M,SEC,13,80,1009,12.6,7,77.6,11,54,4.9,0,4.2,91,1063,11.7,7,,christian-kirk-1
