Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1573,Chris Curry,LSU,SEC,9,1,10,10.0,0,1.1,45,145,3.2,0,16.1,46,155,3.4,0,,chris-curry-2
1574,Dalen Cambre,Louisiana,Sun Belt,10,1,10,10.0,0,1.0,0,0,,0,0.0,1,10,10.0,0,,dalen-cambre-1
1575,Damien Moore,California,Pac-12,4,1,10,10.0,0,2.5,38,194,5.1,0,48.5,39,204,5.2,0,,damien-moore-1
1576,Gavin Reinwald,California,Pac-12,4,2,10,5.0,0,2.5,0,0,,0,0.0,2,10,5.0,0,,gavin-reinwald-1
1577,Hayden Mitchell,Virginia,ACC,10,2,10,5.0,0,1.0,0,0,,0,0.0,2,10,5.0,0,,hayden-mitchell-1
1578,Henry Ikahihifo,Nevada,MWC,1,1,10,10.0,0,10.0,0,0,,0,0.0,1,10,10.0,0,,henry-ikahihifo-1
1579,Henry Ikahihifo,Nevada,MWC,8,1,10,10.0,0,1.3,0,0,,0,0.0,1,10,10.0,0,,henry-ikahihifo-2
1580,Houston Heimuli,Stanford,Pac-12,5,2,10,5.0,0,2.0,0,0,,0,0.0,2,10,5.0,0,,houston-heimuli-1
1581,Jaren Mangham,Colorado,Pac-12,4,1,10,10.0,0,2.5,23,35,1.5,2,8.8,24,45,1.9,2,,jaren-mangham-1
1582,Johnny Langan,Rutgers,Big Ten,9,2,10,5.0,0,1.1,56,201,3.6,4,22.3,58,211,3.6,4,,johnny-langan-1
1583,Josh Henderson,North Carolina,ACC,12,3,10,3.3,0,0.8,18,61,3.4,0,5.1,21,71,3.4,0,,josh-henderson-2
1584,Keenan Garber,Kansas State,Big 12,6,2,10,5.0,0,1.7,2,2,1.0,0,0.3,4,12,3.0,0,,keenan-garber-1
1585,Khi Mathieu,Memphis,American,3,1,10,10.0,0,3.3,0,0,,0,0.0,1,10,10.0,0,,khi-mathieu-1
1586,Peytton Pickett,Liberty,Ind,11,3,10,3.3,0,0.9,91,520,5.7,6,47.3,94,530,5.6,6,,peytton-pickett-1
1587,Reynaldo Flores,UTEP,CUSA,7,1,10,10.0,0,1.4,4,28,7.0,0,4.0,5,38,7.6,0,,reynaldo-flores-1
1588,Ronald Thompkins,Nebraska,Big Ten,2,1,10,10.0,0,5.0,5,24,4.8,0,12.0,6,34,5.7,0,,ronald-thompkins-1
1589,Shakif Seymour,Toledo,MAC,2,2,10,5.0,0,5.0,16,127,7.9,2,63.5,18,137,7.6,2,,shakif-seymour-1
1590,Tahj Magee,Louisiana Tech,CUSA,10,3,10,3.3,0,1.0,0,0,,0,0.0,3,10,3.3,0,,tahj-magee-1
1591,Terion Stewart,Bowling Green,MAC,4,2,10,5.0,0,2.5,37,295,8.0,4,73.8,39,305,7.8,4,,terion-stewart-1
1592,Tucker Gregg,Georgia State,Sun Belt,10,2,10,5.0,0,1.0,90,468,5.2,6,46.8,92,478,5.2,6,,tucker-gregg-1
1593,Zach Rasmussen,Louisiana-Monroe,Sun Belt,10,1,10,10.0,0,1.0,0,0,,1,0.0,1,10,10.0,1,,zach-rasmussen-1
1594,Broc Lane,Utah State,MWC,6,2,9,4.5,0,1.5,0,0,,0,0.0,2,9,4.5,0,,broc-lane-1
1595,Calvin Tyler Jr.,Oregon State,Pac-12,3,2,9,4.5,0,3.0,15,45,3.0,2,15.0,17,54,3.2,2,,calvin-tyler-jr-1
1596,Carlinos Acie,Navy,American,10,1,9,9.0,0,0.9,11,39,3.5,0,3.9,12,48,4.0,0,,carlinos-acie-1
1597,Ethon Williams,Boston College,ACC,2,1,9,9.0,0,4.5,0,0,,0,0.0,1,9,9.0,0,,ethon-williams-1
