Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
116,Pitt,12,20.2,16.0,30.0,53.3,216.0,1.4,29.7,101.9,3.4,0.8,59.7,317.9,5.3,8.4,6.1,1.8,16.3,7.8,64.4,0.8,1.0,1.8
117,Florida International,12,20.1,18.3,31.9,57.4,229.3,1.0,31.7,90.3,2.9,1.4,63.6,319.6,5.0,9.1,5.3,1.0,15.4,5.8,50.6,0.8,1.0,1.8
118,Sam Houston,12,20.0,23.5,37.3,62.9,222.5,1.3,30.7,88.9,2.9,1.1,68.0,311.4,4.6,10.5,5.8,2.0,18.3,5.1,42.2,0.3,1.0,1.3
119,UTEP,12,19.9,14.8,27.5,53.9,217.7,1.1,37.3,144.3,3.9,1.3,64.8,362.0,5.6,8.4,7.4,2.4,18.3,7.0,60.1,0.5,1.0,1.5
120,Eastern Michigan,13,19.5,15.2,27.5,55.0,152.0,0.8,32.9,110.8,3.4,1.4,60.5,262.8,4.3,6.8,7.0,2.0,15.8,6.2,59.8,0.5,0.9,1.4
121,Connecticut,12,19.1,18.3,31.8,57.5,190.3,1.0,32.9,136.6,4.1,1.3,64.7,326.9,5.1,8.3,8.1,1.6,18.0,6.2,55.0,0.8,0.6,1.4
122,Ball State,12,18.3,15.0,25.3,59.2,136.6,0.8,39.4,171.5,4.4,1.3,64.8,308.1,4.8,7.0,9.3,1.8,18.1,5.2,45.2,0.6,0.8,1.3
123,Nebraska,12,18.0,11.3,21.8,52.1,135.9,0.8,39.8,176.8,4.4,1.3,61.6,312.8,5.1,5.5,9.5,1.5,16.5,5.1,42.8,1.3,1.3,2.6
124,Arizona State,12,17.8,20.3,36.7,55.2,210.3,0.7,31.2,111.9,3.6,1.4,67.8,322.3,4.8,9.2,7.5,2.1,18.8,5.7,51.4,0.5,1.2,1.7
125,Navy,12,17.7,8.5,16.6,51.3,105.7,0.8,45.7,194.6,4.3,1.3,62.3,300.3,4.8,4.0,10.2,0.3,14.5,5.7,46.0,0.7,0.4,1.1
126,Charlotte,12,17.5,15.5,27.3,56.7,167.8,0.6,38.7,145.0,3.8,1.3,66.0,312.8,4.7,7.7,7.3,1.9,16.9,7.1,59.3,0.5,1.3,1.8
127,East Carolina,12,17.3,17.3,32.3,53.6,163.9,0.6,32.1,113.3,3.5,1.0,64.4,277.3,4.3,7.7,6.4,1.1,15.2,5.8,54.8,0.6,1.2,1.8
128,Louisiana-Monroe,12,17.3,14.8,28.8,51.3,174.8,1.3,34.6,146.1,4.2,0.6,63.3,320.9,5.1,7.3,7.2,1.4,15.8,5.9,53.6,0.4,1.1,1.5
129,Nevada,12,17.3,15.9,28.8,55.4,175.2,0.5,36.9,124.8,3.4,1.2,65.7,300.0,4.6,7.0,7.2,2.5,16.7,6.8,58.5,0.7,1.0,1.7
130,Akron,12,16.3,21.5,35.4,60.7,197.6,0.8,28.8,81.0,2.8,1.0,64.3,278.6,4.3,8.1,7.1,1.5,16.7,6.9,60.1,0.5,1.3,1.8
131,Michigan State,12,15.9,18.4,31.6,58.3,199.8,1.2,30.8,89.5,2.9,0.6,62.4,289.3,4.6,8.6,6.2,1.8,16.6,7.0,60.7,0.8,1.1,1.8
132,Iowa,14,15.4,12.1,24.9,48.9,118.6,0.6,34.7,115.9,3.3,0.8,59.6,234.6,3.9,5.4,5.9,1.6,12.9,3.6,30.9,0.8,0.8,1.6
133,Kent State,12,14.7,13.3,25.4,52.5,164.5,0.9,36.8,105.9,2.9,0.7,62.2,270.4,4.3,7.4,6.3,1.3,15.0,5.4,46.2,0.5,0.5,1.0
