Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
70,Louisiana Tech,12,28.0,20.7,34.3,60.3,262.6,1.8,34.5,121.9,3.5,1.3,68.8,384.5,5.6,11.9,6.6,2.6,20.9,6.8,52.1,0.6,1.3,1.9
71,Nebraska,12,27.9,17.9,28.5,62.9,266.4,1.2,40.8,181.2,4.4,2.6,69.3,447.6,6.5,11.2,9.1,1.4,21.7,5.3,45.0,0.6,0.9,1.5
72,Washington State,13,27.8,21.6,34.8,62.2,257.3,2.0,30.8,121.8,4.0,1.5,65.6,379.2,5.8,11.1,7.5,1.5,20.2,5.3,46.2,0.4,1.0,1.4
73,Florida State,12,27.6,17.4,28.3,61.5,201.6,1.7,37.2,177.8,4.8,1.8,65.5,379.4,5.8,9.2,9.1,2.5,20.7,6.9,62.5,0.8,1.0,1.8
74,Old Dominion,13,27.6,18.8,32.3,58.3,214.8,1.2,37.9,158.2,4.2,1.7,70.2,372.9,5.3,8.9,9.8,1.7,20.5,6.8,60.2,0.7,1.1,1.8
75,Tulane,12,27.6,17.8,31.3,56.6,221.8,1.9,37.1,165.1,4.5,1.6,68.4,386.8,5.7,9.2,8.8,1.5,19.5,6.0,51.1,1.0,1.1,2.1
76,Kansas State,13,27.5,15.7,23.9,65.6,199.2,1.1,33.5,162.5,4.9,2.2,57.4,361.7,6.3,8.3,8.6,1.1,18.0,5.4,45.5,0.5,0.5,1.1
77,North Texas,13,27.5,15.7,30.3,51.8,197.1,0.9,48.8,235.4,4.8,2.5,79.2,432.5,5.5,8.3,12.9,1.8,23.1,7.2,68.5,0.3,1.1,1.4
78,San Diego State,14,27.4,14.9,25.7,58.1,167.9,1.1,40.6,175.1,4.3,1.9,66.3,343.0,5.2,7.9,8.6,2.1,18.7,7.4,67.9,0.6,0.4,1.0
79,Charlotte,12,27.2,20.6,32.8,62.7,253.7,2.3,35.6,150.7,4.2,1.1,68.4,404.3,5.9,11.6,8.2,2.4,22.2,6.5,53.4,0.8,0.8,1.7
80,LSU,13,26.5,20.2,34.1,59.1,254.5,2.5,34.2,114.5,3.4,0.7,68.2,368.9,5.4,10.8,7.0,1.6,19.4,4.3,34.3,0.4,0.8,1.2
81,Tulsa,13,26.4,18.8,31.6,59.4,251.5,1.4,42.1,192.1,4.6,1.5,73.7,443.5,6.0,10.6,9.7,2.3,22.6,7.5,71.5,0.5,1.2,1.8
82,Clemson,13,26.3,17.5,31.8,55.2,191.2,0.9,37.2,169.6,4.6,2.0,69.0,360.8,5.2,9.0,8.8,2.0,19.8,6.1,50.5,0.6,0.8,1.5
83,Minnesota,13,25.5,11.7,19.8,59.1,162.0,0.9,45.8,199.3,4.3,2.1,65.6,361.3,5.5,7.2,11.2,1.5,20.0,4.5,45.3,0.3,0.7,1.0
84,Florida Atlantic,12,25.4,19.2,32.3,59.4,248.5,1.7,37.3,152.6,4.1,1.5,69.5,401.1,5.8,9.8,8.4,1.9,20.2,7.1,59.8,0.8,0.7,1.5
85,Wisconsin,13,25.4,13.6,23.1,59.0,160.2,0.8,43.3,211.1,4.9,2.0,66.4,371.2,5.6,8.0,10.5,1.5,20.1,5.4,43.6,0.8,1.0,1.8
86,Wyoming,13,25.4,12.5,22.8,54.5,162.7,1.2,41.6,211.2,5.1,1.8,64.5,373.9,5.8,7.4,10.2,1.0,18.5,5.1,44.9,0.5,0.9,1.4
87,Arkansas State,12,25.3,25.8,43.7,59.2,313.9,2.3,28.9,83.3,2.9,0.3,72.6,397.2,5.5,13.6,5.1,2.9,21.6,5.6,50.2,0.4,1.4,1.8
88,West Virginia,13,25.2,22.3,34.3,65.0,247.9,1.5,34.7,123.2,3.5,1.5,69.0,371.1,5.4,11.4,8.3,1.7,21.4,5.2,43.2,0.6,0.9,1.5
89,UTEP,13,25.1,15.4,28.1,54.8,252.2,1.5,36.3,141.7,3.9,1.4,64.4,393.8,6.1,9.5,6.5,2.2,18.2,8.5,74.4,0.8,1.1,1.8
90,Penn State,13,25.0,22.4,37.4,59.9,268.5,1.9,33.6,107.8,3.2,0.8,71.0,376.4,5.3,12.2,7.0,1.2,20.3,5.4,46.6,0.4,0.8,1.2
91,South Alabama,12,24.9,22.8,33.9,67.1,256.0,1.8,36.4,111.7,3.1,1.3,70.3,367.7,5.2,10.9,6.5,1.6,19.0,4.8,43.8,0.8,0.9,1.7
92,Syracuse,12,24.9,13.0,23.9,54.4,153.0,0.8,40.8,214.3,5.3,2.3,64.7,367.3,5.7,6.8,11.1,1.8,19.6,7.0,57.7,0.5,0.5,1.0
93,Boston College,12,24.7,14.1,25.3,55.6,184.8,1.1,39.2,166.9,4.3,1.8,64.5,351.7,5.5,7.3,10.1,1.9,19.3,5.3,49.3,0.5,0.9,1.4
94,Ball State,13,24.1,20.5,33.8,60.7,207.6,1.4,34.1,130.0,3.8,1.3,67.9,337.6,5.0,9.9,7.4,1.8,19.1,4.9,40.8,0.4,0.5,0.9
95,Georgia Tech,12,24.0,17.1,28.5,59.9,197.9,1.5,36.9,169.3,4.6,1.3,65.4,367.2,5.6,8.7,8.5,1.8,18.8,6.1,51.2,0.4,0.8,1.3
96,California,12,23.8,19.6,31.8,61.7,221.6,1.3,33.3,164.4,4.9,1.4,65.1,386.0,5.9,9.3,8.4,1.3,19.0,6.3,58.7,0.2,0.7,0.8
97,Colorado State,12,23.7,19.8,33.0,59.8,251.7,1.3,42.8,164.3,3.8,1.2,75.8,415.9,5.5,12.5,7.8,1.0,21.3,7.1,68.5,0.7,0.9,1.6
