Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
110,Kolton Miller,24,LVR,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,MillKo00
111,Byron Murphy,21,ARI,CB,16,16,1,0,0,0,10,0,0,0,0,0,0.0,78,66,12,3,0,0,,MurpBy00
112,Trent Murphy,29,BUF,DE,16,16,1,0,0,0,3,2,0,2,8,0,5.0,36,24,12,9,9,0,,MurpTr00
113,Kyler Murray,22,ARI,QB,16,16,0,0,0,0,0,0,5,3,-15,0,0.0,0,0,0,0,0,0,AP ORoY-1,MurrKy00
114,Derrick Nnadi,23,KAN,DT,16,16,1,0,0,0,1,1,0,0,0,0,1.0,48,18,30,3,1,0,,NnadDe00
115,Isaiah Oliver,23,ATL,CB,16,16,0,0,0,0,11,1,0,0,0,0,0.0,62,50,12,0,1,0,,OlivIs00
116,Corey Peters,31,ARI,DT,16,16,0,0,0,0,0,0,0,0,0,0,2.5,38,19,19,6,6,0,,PeteCo00
117,Jordan Poyer,28,BUF,S,16,16,2,0,0,0,3,3,0,4,31,0,1.0,107,71,36,4,1,0,,PoyeJo00
118,Dak Prescott,26,DAL,QB,16,16,0,0,0,0,0,0,6,2,-5,0,0.0,0,0,0,0,0,0,,PresDa01
119,Eric Reid,28,CAR,S,16,16,0,0,0,0,6,1,0,2,0,0,4.0,130,97,33,7,5,0,,ReidEr00
120,Austin Reiter,28,KAN,C,16,16,0,0,0,0,0,0,1,0,-2,0,0.0,0,0,0,0,0,0,,ReitAu00
121,Philip Rivers,38,LAC,QB,16,16,0,0,0,0,0,0,8,0,-25,0,0.0,0,0,0,0,0,0,,RivePh00
122,Aaron Rodgers,36,GNB,QB,16,16,0,0,0,0,0,0,4,0,-5,0,0.0,0,0,0,0,0,0,PB,RodgAa00
123,Logan Ryan,28,TEN,CB,16,16,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,0,,RyanLo00
124,Rodger Saffold,31,TEN,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SaffRo20
125,Joe Schobert,26,CLE,LB,16,16,4,24,0,20,9,2,0,1,21,0,2.0,133,89,44,7,4,0,,SchoJo00
126,Michael Schofield,29,LAC,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SchoMi00
127,Isaac Seumalo,26,PHI,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SeumIs00
128,Justin Simmons,26,DEN,S,16,16,4,30,0,17,15,0,1,0,0,0,0.0,93,65,28,2,0,0,AP-2,SimmJu00
129,Jaylon Smith,24,DAL,LB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,0,PB,SmitJa05
130,Preston Smith,27,GNB,LB,16,16,1,5,0,5,4,1,0,0,0,0,12.0,56,36,20,11,23,0,,SmitPr00
131,Za'Darius Smith,27,GNB,LB,16,16,0,0,0,0,0,1,0,0,0,0,13.5,55,41,14,17,37,0,PB,SmitZa00
132,Nate Solder,31,NYG,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SoldNa00
133,Quinton Spain,28,BUF,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,SpaiQu00
134,Ndamukong Suh,32,TAM,DE,16,16,0,0,0,0,4,0,0,4,43,2,2.5,41,22,19,7,14,0,,SuhxNd99
135,Montez Sweat,23,WAS,LB,16,16,0,0,0,0,2,2,0,0,0,0,7.0,50,31,19,8,13,0,,SweaMo00
136,Juan Thornhill,24,KAN,S,16,16,3,46,1,46,5,0,0,0,0,0,0.0,58,42,16,0,0,0,,ThorJu00
137,Joe Thuney,27,NWE,LG,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP-2,ThunJo00
138,Dalvin Tomlinson,25,NYG,DT,16,16,0,0,0,0,0,1,0,0,0,0,3.5,49,23,26,7,9,0,,TomlDa00
139,C.J. Uzomah,26,CIN,TE,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,UzomC.00
140,Kenny Vaccaro,28,TEN,S,16,16,1,2,0,2,5,0,0,0,0,0,1.0,84,51,33,3,6,0,,VaccKe00
141,Vita Vea,24,TAM,DT,16,16,0,0,0,0,3,0,0,0,0,0,2.5,35,19,16,4,12,0,,VeaxVi00
142,Nick Vigil,26,CIN,LB,16,16,1,34,0,34,5,1,0,2,13,0,1.0,111,60,51,3,4,0,,VigiNi00
143,Alejandro Villanueva,31,PIT,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,VillAl00
144,Bobby Wagner,29,SEA,LB,16,16,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,0,PBAP-1,WagnBo00
145,Anthony Walker,24,IND,LB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,0,,WalkAn01
146,Levi Wallace,24,BUF,CB,16,16,2,2,0,2,9,0,0,0,0,0,0.0,76,66,10,4,0,0,,WallLe00
147,Darren Waller,27,LVR,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-3,WallDa01
148,Charvarius Ward,23,KAN,CB,16,16,2,10,0,10,10,1,0,0,0,0,0.0,74,56,18,0,0,0,,WardCh01
149,Fred Warner,23,SFO,LB,16,16,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,0,,WarnFr00
150,T.J. Watt,25,PIT,LB,16,16,2,7,0,7,8,8,0,4,0,0,14.5,55,35,20,14,36,0,PBAP-1AP DPoY-3,WattT.00
151,Eric Weddle,34,LAR,S,16,16,0,0,0,0,4,0,0,0,0,0,0.0,108,69,39,1,1,0,,WeddEr99
152,Carson Wentz,27,PHI,QB,16,16,0,0,0,0,0,0,16,9,-26,0,0.0,0,0,0,0,0,0,AP CPoY-5,WentCa00
153,Tahir Whitehead,29,LVR,LB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,108,79,29,6,1,0,,WhitTa00
154,Damien Wilson,26,KAN,LB,16,16,0,0,0,0,1,1,0,0,0,0,1.5,81,52,29,3,4,0,,WilsDa02
155,Jarrod Wilson,25,JAX,S,16,16,2,4,0,4,4,1,0,0,0,0,0.0,79,57,22,6,2,0,,WilsJa00
156,Russell Wilson,31,SEA,QB,16,16,0,0,0,0,0,0,8,2,-11,0,0.0,0,0,0,0,0,0,PBAP-2AP OPoY-4,WilsRu00
157,Jameis Winston,25,TAM,QB,16,16,0,0,0,0,0,0,12,3,-14,0,0.0,0,0,0,0,0,0,,WinsJa00
158,Jason Witten,37,DAL,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,WittJa00
159,K.J. Wright,30,SEA,LB,16,16,3,10,0,11,11,0,0,0,0,0,0.0,132,67,65,5,1,0,,WrigK.00
160,Deandre Baker,22,NYG,CB,16,15,0,0,0,0,8,0,0,0,0,0,0.0,61,48,13,2,0,0,,BakeDe00
161,Jerome Baker,23,MIA,LB,16,15,1,34,0,34,4,2,0,0,0,0,1.5,126,76,50,3,5,0,,BakeJe00
162,Vic Beasley,27,ATL,DE,16,15,0,0,0,0,2,2,0,0,0,0,8.0,42,28,14,8,12,0,,BeasVi00
163,Odell Beckham Jr.,27,CLE,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,BeckOd00
164,Tyler Boyd,25,CIN,WR,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,BoydTy00
165,Bashaud Breeland,27,KAN,CB,16,15,2,4,0,4,8,0,0,2,114,1,0.0,48,37,11,1,1,0,,BreeBa00
166,Devin Bush Jr.,21,PIT,LB,16,15,2,6,0,6,4,1,0,4,20,1,1.0,109,72,37,9,2,0,AP DRoY-3,BushDe01
167,De'Vondre Campbell,26,ATL,LB,16,15,2,-5,0,0,5,3,0,1,0,0,2.0,129,75,54,6,2,0,,CampDe00
168,Robbie Chosen,26,NYJ,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,AndeRo04
169,Jamie Collins,30,NWE,LB,16,15,3,85,1,69,7,3,0,1,0,0,7.0,81,58,23,10,10,0,,CollJa00
170,Cody Ford,23,BUF,RT,16,15,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,FordCo00
171,Cole Holcomb,23,WAS,LB,16,15,0,0,0,0,1,3,0,0,0,0,1.0,105,74,31,6,2,0,,HolcCo00
172,Marlon Humphrey,23,BAL,CB,16,15,3,14,0,14,14,2,0,3,91,2,0.0,65,53,12,4,1,0,PBAP-1,HumpMa00
173,Matthew Ioannidis,25,WAS,DE,16,15,0,0,0,0,1,0,0,0,0,0,8.5,64,42,22,11,16,0,,IoanMa01
174,Abry Jones,28,JAX,DT,16,15,0,0,0,0,0,0,0,1,0,0,2.0,31,15,16,1,3,0,,JoneAb00
175,Sebastian Joseph-Day,24,LAR,DT,16,15,0,0,0,0,1,0,0,0,0,0,2.0,44,25,19,5,5,0,,JoseSe00
176,Devon Kennard,28,DET,LB,16,15,0,0,0,0,0,1,0,2,13,1,7.0,58,45,13,9,15,0,,KennDe00
177,D.K. Metcalf,22,SEA,WR,16,15,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,MetcDK00
178,Joe Mixon,23,CIN,RB,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,MixoJo00
179,Sheldon Richardson,29,CLE,DT,16,15,0,0,0,0,4,3,0,0,0,0,3.0,62,43,19,4,6,0,,RichSh00
180,Eric Rowe,27,MIA,S,16,15,1,35,1,35,8,1,0,0,0,0,0.0,81,54,27,1,0,0,,RoweEr00
181,Curtis Samuel,23,CAR,WR,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SamuCu00
182,Michael Thomas,26,NOR,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PBAP-1AP OPoY-1,ThomMi05
183,Shawn Williams,28,CIN,S,16,15,1,12,0,12,3,0,0,0,0,0,1.0,114,80,34,5,3,0,,WillSh02
184,Geno Atkins,31,CIN,DT,16,14,0,0,0,0,0,0,0,0,0,0,4.5,47,18,29,4,10,0,PB,AtkiGe99
185,Andrew Billings,24,CIN,DT,16,14,0,0,0,0,0,0,0,0,0,0,1.0,35,18,17,4,4,0,,BillAn00
186,Nick Bosa,22,SFO,DE,16,14,1,46,0,46,2,1,0,2,6,0,9.0,47,32,15,16,25,0,PBAP DRoY-1,BosaNi00
187,Minkah Fitzpatrick,23,2TM,CB,16,16,5,130,1,96,9,2,0,3,79,1,0.0,69,44,25,1,1,0,PBAP-1,FitzMi00
187,Minkah Fitzpatrick,23,MIA,CB,2,2,0,0,0,0,0,1,0,1,0,0,0.0,12,8,4,0,0,0,,FitzMi00
187,Minkah Fitzpatrick,23,PIT,S,14,14,5,130,1,96,9,1,0,2,79,1,0.0,57,36,21,1,1,0,,FitzMi00
188,Dante Fowler,25,LAR,LB,16,14,0,0,0,0,6,2,0,1,26,1,11.5,58,40,18,16,16,0,,FowlDa00
