,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
342,Gus Edwards*,Miami (FL),ACC,11,59,290,4.9,1,26.4,1,9,9.0,0,0.8,60,299,5.0,1,,gus-edwards-1
343,Dillion Birden*,Houston,American,12,62,289,4.7,6,24.1,7,54,7.7,1,4.5,69,343,5.0,7,,dillion-birden-1
344,Nathan Peterman*,Pitt,ACC,13,72,286,4.0,3,22.0,1,11,11.0,0,0.8,73,297,4.1,3,,nathan-peterman-1
345,Abdul Adams*,Oklahoma,Big 12,7,53,283,5.3,0,40.4,3,25,8.3,0,3.6,56,308,5.5,0,,abdul-adams-1
346,Sam Rogers*,Virginia Tech,ACC,14,67,283,4.2,2,20.2,24,301,12.5,4,21.5,91,584,6.4,6,,sam-rogers-1
347,Darius Hoggins*,Louisiana,Sun Belt,13,51,281,5.5,1,21.6,7,31,4.4,0,2.4,58,312,5.4,1,,darius-hoggins-1
348,Duke Carter IV,Louisiana-Monroe,Sun Belt,11,85,281,3.3,1,25.5,9,89,9.9,0,8.1,94,370,3.9,1,,duke-carter-iv-1
349,Bolu Olorunfunmi,UCLA,Pac-12,11,71,280,3.9,4,25.5,8,36,4.5,1,3.3,79,316,4.0,5,,bolu-olorunfunmi-1
350,Josh Anderson*,Troy,Sun Belt,13,56,280,5.0,3,21.5,14,73,5.2,1,5.6,70,353,5.0,4,,josh-anderson-6
351,Damion Jones-Moore*,Toledo,MAC,12,50,279,5.6,0,23.3,3,14,4.7,0,1.2,53,293,5.5,0,,damion-jones-moore-1
352,Nate Romine*,Air Force,MWC,9,95,279,2.9,3,31.0,0,0,,0,0.0,95,279,2.9,3,,nate-romine-1
353,Ryan Higgins*,Louisiana Tech,CUSA,13,88,277,3.1,4,21.3,0,0,,0,0.0,88,277,3.1,4,,ryan-higgins-1
354,Qua Searcy*,Georgia Tech,ACC,13,46,273,5.9,2,21.0,10,183,18.3,0,14.1,56,456,8.1,2,,qua-searcy-1
355,Darrius Sims*,Vanderbilt,SEC,12,41,271,6.6,1,22.6,5,61,12.2,0,5.1,46,332,7.2,1,,darrius-sims-1
356,Demario McCall*,Ohio State,Big Ten,6,49,270,5.5,3,45.0,4,84,21.0,1,14.0,53,354,6.7,4,,demario-mccall-1
357,Tyler Williams*,Air Force,MWC,13,48,270,5.6,6,20.8,6,136,22.7,0,10.5,54,406,7.5,6,,tyler-williams-5
358,Austin Vaughn,Louisiana-Monroe,Sun Belt,12,48,268,5.6,2,22.3,1,1,1.0,0,0.1,49,269,5.5,2,,austin-vaughn-1
