,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
748,Cory Young*,Boise State,MWC,6,10,48,4.8,0,8.0,0,0,,0,0.0,10,48,4.8,0,,cory-young-1
749,Darren Woods Jr.,Nevada-Las Vegas,MWC,6,3,48,16.0,0,8.0,13,189,14.5,1,31.5,16,237,14.8,1,,darren-woods-jr-1
750,Jericho Flowers,Nevada-Las Vegas,MWC,8,4,48,12.0,1,6.0,10,147,14.7,1,18.4,14,195,13.9,2,,jericho-flowers-1
751,Cole Gest*,Indiana,Big Ten,3,10,47,4.7,0,15.7,1,2,2.0,0,0.7,11,49,4.5,0,,cole-gest-1
752,Marcus Allen*,Georgia Tech,ACC,9,10,47,4.7,0,5.2,0,0,,0,0.0,10,47,4.7,0,,marcus-allen-4
753,Nick Patti*,UCF,American,12,11,47,4.3,1,3.9,0,0,,0,0.0,11,47,4.3,1,,nick-patti-1
754,Zack Mahoney,Syracuse,ACC,10,44,47,1.1,2,4.7,0,0,,0,0.0,44,47,1.1,2,,zack-mahoney-1
755,Al-Damion Riles*,Louisiana,Sun Belt,13,10,46,4.6,0,3.5,60,729,12.2,2,56.1,70,775,11.1,2,,al-damion-riles-1
756,Amir Rasul*,Florida State,ACC,7,6,46,7.7,0,6.6,0,0,,0,0.0,6,46,7.7,0,,amir-rasul-1
757,Brandon Reilly*,Nebraska,Big Ten,11,8,46,5.8,0,4.2,21,412,19.6,2,37.5,29,458,15.8,2,,brandon-reilly-1
758,C.J. Carroll*,Virginia Tech,ACC,13,9,46,5.1,0,3.5,18,258,14.3,0,19.8,27,304,11.3,0,,cj-carroll-1
759,Danny Etling*,LSU,SEC,11,41,46,1.1,1,4.2,0,0,,0,0.0,41,46,1.1,1,,danny-etling-1
760,Jordan Carmouche,SMU,American,3,15,46,3.1,0,15.3,0,0,,0,0.0,15,46,3.1,0,,jordan-carmouche-1
761,J.P. Caruso*,Appalachian State,Sun Belt,9,12,46,3.8,1,5.1,0,0,,0,0.0,12,46,3.8,1,,jp-caruso-1
762,Mykel Traylor-Bennett,Akron,MAC,9,10,46,4.6,4,5.1,9,97,10.8,1,10.8,19,143,7.5,5,,mykel-traylor-bennett-1
763,A.J. Ouellette*,Ohio,MAC,1,3,45,15.0,0,45.0,0,0,,0,0.0,3,45,15.0,0,,aj-ouellette-1
764,Beau Bisharat*,Colorado,Pac-12,14,15,45,3.0,0,3.2,0,0,,0,0.0,15,45,3.0,0,,beau-bisharat-1
765,Brandon Simmons*,Old Dominion,CUSA,6,11,45,4.1,0,7.5,1,4,4.0,0,0.7,12,49,4.1,0,,brandon-simmons-3
766,Hayden Moore,Cincinnati,American,7,53,45,0.8,2,6.4,1,29,29.0,1,4.1,54,74,1.4,3,,hayden-moore-1
767,Jake Browning*,Washington,Pac-12,14,65,45,0.7,4,3.2,0,0,,0,0.0,65,45,0.7,4,H-6,jake-browning-1
768,Jordon Brown*,North Carolina,ACC,5,20,45,2.3,1,9.0,1,15,15.0,0,3.0,21,60,2.9,1,,jordon-brown-1
769,Alec Ingold*,Wisconsin,Big Ten,14,18,44,2.4,2,3.1,6,55,9.2,2,3.9,24,99,4.1,4,,alec-ingold-1
770,Donnie Corley,Michigan State,Big Ten,12,8,44,5.5,0,3.7,33,453,13.7,3,37.8,41,497,12.1,3,,donnie-corley-1
771,Eddie Sinegal,UTEP,CUSA,12,2,44,22.0,0,3.7,29,338,11.7,0,28.2,31,382,12.3,0,,eddie-sinegal-1
772,Ellijah Wellman*,West Virginia,Big 12,13,14,44,3.1,0,3.4,2,8,4.0,0,0.6,16,52,3.3,0,,ellijah-wellman-1
773,Grant Rohach,Buffalo,MAC,9,35,44,1.3,0,4.9,0,0,,0,0.0,35,44,1.3,0,,grant-rohach-1
774,Jackson Tyner,Rice,CUSA,5,20,44,2.2,1,8.8,1,24,24.0,1,4.8,21,68,3.2,2,,jackson-tyner-1
775,Jake Hubenak*,Texas A&M,SEC,7,31,44,1.4,0,6.3,0,0,,0,0.0,31,44,1.4,0,,jake-hubenak-1
776,Jarvis Baxter*,Oklahoma,Big 12,10,2,44,22.0,1,4.4,4,57,14.3,0,5.7,6,101,16.8,1,,jarvis-baxter-1
777,Johnathan Vickers*,Florida State,ACC,4,5,44,8.8,0,11.0,0,0,,0,0.0,5,44,8.8,0,,johnathan-vickers-1
778,Nyheim Hines*,North Carolina State,ACC,12,13,44,3.4,0,3.7,43,525,12.2,0,43.8,56,569,10.2,0,,nyheim-hines-1
779,Quest Truxton*,San Diego State,MWC,14,2,44,22.0,0,3.1,11,156,14.2,3,11.1,13,200,15.4,3,,quest-truxton-1
780,Travis Homer*,Miami (FL),ACC,12,7,44,6.3,0,3.7,0,0,,0,0.0,7,44,6.3,0,,travis-homer-1
781,Algernon Brown*,BYU,Ind,12,16,43,2.7,0,3.6,6,67,11.2,0,5.6,22,110,5.0,0,,algernon-brown-1
782,Bryce Peters*,Colorado State,MWC,12,11,43,3.9,0,3.6,0,0,,0,0.0,11,43,3.9,0,,bryce-peters-1
783,Bucky Hodges*,Virginia Tech,ACC,14,9,42,4.7,0,3.0,48,691,14.4,7,49.4,57,733,12.9,7,,bucky-hodges-1
784,Josh Boyd*,Appalachian State,Sun Belt,1,7,42,6.0,0,42.0,0,0,,0,0.0,7,42,6.0,0,,josh-boyd-2
785,Kavika Johnson,UTEP,CUSA,12,31,42,1.4,0,3.5,11,95,8.6,0,7.9,42,137,3.3,0,,kavika-johnson-1
786,Alex Rodriguez*,Indiana,Big Ten,12,10,41,4.1,0,3.4,1,15,15.0,0,1.3,11,56,5.1,0,,alex-rodriguez-2
787,Kylen Granson,Rice,CUSA,7,4,41,10.3,0,5.9,33,381,11.5,2,54.4,37,422,11.4,2,,kylen-granson-1
788,Michael Walker*,Boston College,ACC,13,8,41,5.1,0,3.2,33,420,12.7,4,32.3,41,461,11.2,4,,michael-walker-2
789,Quintez Cephus*,Wisconsin,Big Ten,14,5,41,8.2,0,2.9,4,94,23.5,0,6.7,9,135,15.0,0,,quintez-cephus-1
790,Riley Ridley*,Georgia,SEC,11,3,41,13.7,0,3.7,12,238,19.8,2,21.6,15,279,18.6,2,,riley-ridley-1
791,Ryan Metz,UTEP,CUSA,11,36,41,1.1,0,3.7,0,0,,0,0.0,36,41,1.1,0,,ryan-metz-1
792,Terence Stephens Jr.,Bowling Green,MAC,9,13,41,3.2,0,4.6,2,-4,-2.0,0,-0.4,15,37,2.5,0,,terence-stephens-jr-1
793,Terren Encalade,Tulane,American,12,5,41,8.2,0,3.4,36,500,13.9,6,41.7,41,541,13.2,6,,terren-encalade-1
794,Tyrell Clay*,UTSA,CUSA,12,13,41,3.2,0,3.4,1,9,9.0,0,0.8,14,50,3.6,0,,tyrell-clay-1
795,Austin Duke,Charlotte,CUSA,12,11,40,3.6,0,3.3,59,803,13.6,4,66.9,70,843,12.0,4,,austin-duke-1
796,Ricky Jeune*,Georgia Tech,ACC,13,1,40,40.0,0,3.1,25,427,17.1,1,32.8,26,467,18.0,1,,ricky-jeune-1
797,Tyrell Goodman,Akron,MAC,11,27,40,1.5,0,3.6,1,3,3.0,0,0.3,28,43,1.5,0,,tyrell-goodman-1
798,Van Jefferson,Ole Miss,SEC,12,5,40,8.0,0,3.3,49,543,11.1,3,45.3,54,583,10.8,3,,van-jefferson-1
799,Ahki Muhammad,Nevada,MWC,10,6,39,6.5,0,3.9,6,98,16.3,1,9.8,12,137,11.4,1,,ahki-muhammad-1
800,Allen Staggers*,Southern Mississippi,CUSA,13,3,39,13.0,0,3.0,63,1165,18.5,7,89.6,66,1204,18.2,7,,allen-staggers-1
801,Billy McCrary III,California,Pac-12,9,6,39,6.5,0,4.3,2,3,1.5,0,0.3,8,42,5.3,0,,billy-mccrary-iii-1
802,Bryson Oglesby,Fresno State,MWC,1,9,39,4.3,0,39.0,0,0,,0,0.0,9,39,4.3,0,,bryson-oglesby-1
803,Cortrelle Simpson*,Temple,American,8,3,39,13.0,0,4.9,0,0,,0,0.0,3,39,13.0,0,,cortrelle-simpson-1
804,Fred Ross*,Mississippi State,SEC,13,2,39,19.5,0,3.0,72,917,12.7,12,70.5,74,956,12.9,12,,fred-ross-1
805,Khalid Hill*,Michigan,Big Ten,13,25,39,1.6,10,3.0,16,118,7.4,3,9.1,41,157,3.8,13,,khalid-hill-1
806,Ryan Wolpin*,Boise State,MWC,13,13,39,3.0,0,3.0,0,0,,0,0.0,13,39,3.0,0,,ryan-wolpin-1
807,Seth Shuman,Georgia Southern,Sun Belt,5,8,39,4.9,0,7.8,0,0,,0,0.0,8,39,4.9,0,,seth-shuman-1
808,Branden Leon,Arizona,Pac-12,12,8,38,4.8,0,3.2,0,0,,0,0.0,8,38,4.8,0,,branden-leon-1
809,Bobby Henderson*,Michigan,Big Ten,12,5,37,7.4,1,3.1,1,23,23.0,0,1.9,6,60,10.0,1,,bobby-henderson-2
810,Charles Nelson,Oregon,Pac-12,12,4,37,9.3,1,3.1,52,554,10.7,5,46.2,56,591,10.6,6,,charles-nelson-2
811,Deante' Gray*,Texas Christian,Big 12,12,5,37,7.4,0,3.1,10,119,11.9,0,9.9,15,156,10.4,0,,deante-gray-1
812,Javohn Jones*,New Mexico,MWC,4,6,37,6.2,0,9.3,0,0,,0,0.0,6,37,6.2,0,,javohn-jones-1
813,Jordan Davis*,Louisiana,Sun Belt,7,7,37,5.3,0,5.3,0,0,,0,0.0,7,37,5.3,0,,jordan-davis-5
814,Keevan Lucas*,Tulsa,American,13,6,37,6.2,0,2.8,81,1180,14.6,15,90.8,87,1217,14.0,15,,keevan-lucas-1
815,Zach Boden,Duke,ACC,11,12,37,3.1,0,3.4,0,0,,0,0.0,12,37,3.1,0,,zach-boden-1
816,Mitchell Paige*,Indiana,Big Ten,13,5,36,7.2,1,2.8,58,646,11.1,4,49.7,63,682,10.8,5,,mitchell-paige-1
817,Taywan Taylor*,Western Kentucky,CUSA,14,6,36,6.0,0,2.6,98,1730,17.7,17,123.6,104,1766,17.0,17,,taywan-taylor-1
818,Thurman Morbley,Texas State,Sun Belt,11,5,36,7.2,0,3.3,35,400,11.4,2,36.4,40,436,10.9,2,,thurman-morbley-1
819,Christian Kirk*,Texas A&M,SEC,13,8,35,4.4,0,2.7,83,928,11.2,9,71.4,91,963,10.6,9,,christian-kirk-1
820,Royce Caldwell,New Mexico State,Sun Belt,7,7,35,5.0,0,5.0,11,217,19.7,1,31.0,18,252,14.0,1,,royce-caldwell-1
821,Cethan Carter*,Nebraska,Big Ten,10,3,34,11.3,0,3.4,19,190,10.0,1,19.0,22,224,10.2,1,,cethan-carter-1
822,Christian Drake*,Army,Ind,8,7,34,4.9,0,4.3,0,0,,0,0.0,7,34,4.9,0,,christian-drake-1
823,Demornay Pierson-El*,Nebraska,Big Ten,13,14,34,2.4,0,2.6,20,254,12.7,1,19.5,34,288,8.5,1,,demornay-pierson-el-1
824,Jeremy Lewis*,Tennessee,SEC,2,6,34,5.7,0,17.0,0,0,,0,0.0,6,34,5.7,0,,jeremy-lewis-2
825,Malik Zaire,Notre Dame,Ind,8,20,34,1.7,0,4.3,0,0,,0,0.0,20,34,1.7,0,,malik-zaire-1
826,Milton Revell*,South Alabama,Sun Belt,13,11,34,3.1,0,2.6,3,9,3.0,0,0.7,14,43,3.1,0,,milton-revell-1
827,Teldrick Morgan*,Maryland,Big Ten,13,6,34,5.7,0,2.6,43,497,11.6,4,38.2,49,531,10.8,4,,teldrick-morgan-1
828,Tommy Woodson,Akron,MAC,8,42,34,0.8,1,4.3,0,0,,0,0.0,42,34,0.8,1,,tommy-woodson-1
829,Troy Stewart,Georgia Southern,Sun Belt,1,7,34,4.9,1,34.0,0,0,,0,0.0,7,34,4.9,1,,troy-stewart-1
830,Akilian Butler*,Boise State,MWC,10,3,33,11.0,0,3.3,3,25,8.3,0,2.5,6,58,9.7,0,,akilian-butler-1
831,Carlton Djam*,Minnesota,Big Ten,1,7,33,4.7,0,33.0,0,0,,0,0.0,7,33,4.7,0,,carlton-djam-1
832,Chad President*,Tulsa,American,1,3,33,11.0,0,33.0,0,0,,0,0.0,3,33,11.0,0,,chad-president-1
833,Darius Bradwell,Tulane,American,3,11,33,3.0,0,11.0,0,0,,0,0.0,11,33,3.0,0,,darius-bradwell-1
834,Emmanuel Reed,Buffalo,MAC,2,7,33,4.7,0,16.5,0,0,,0,0.0,7,33,4.7,0,,emmanuel-reed-1
835,Isaiah Ford*,Virginia Tech,ACC,14,6,33,5.5,0,2.4,79,1094,13.8,7,78.1,85,1127,13.3,7,,isaiah-ford-1
836,Jeremy Johnson*,Auburn,SEC,5,15,33,2.2,2,6.6,0,0,,0,0.0,15,33,2.2,2,,jeremy-johnson-5
837,Josh Brown*,Navy,American,8,4,33,8.3,0,4.1,1,7,7.0,0,0.9,5,40,8.0,0,,josh-brown-6
838,Nico Evans*,Wyoming,MWC,13,11,33,3.0,0,2.5,1,13,13.0,0,1.0,12,46,3.8,0,,nico-evans-1
839,Ryan Agnew*,San Diego State,MWC,8,5,33,6.6,0,4.1,0,0,,0,0.0,5,33,6.6,0,,ryan-agnew-1
840,Toks Akinribade*,Iowa,Big Ten,6,16,33,2.1,0,5.5,0,0,,0,0.0,16,33,2.1,0,,toks-akinribade-1
841,Troy Lewis*,Colorado,Pac-12,1,9,33,3.7,0,33.0,0,0,,0,0.0,9,33,3.7,0,,troy-lewis-2
842,Antonio Callaway*,Florida,SEC,12,5,32,6.4,1,2.7,54,721,13.4,3,60.1,59,753,12.8,4,,antonio-callaway-1
843,Brendan Douglas*,Georgia,SEC,13,5,32,6.4,0,2.5,2,24,12.0,0,1.8,7,56,8.0,0,,brendan-douglas-1
844,Jordan Howard*,Utah,Pac-12,4,5,32,6.4,0,8.0,0,0,,0,0.0,5,32,6.4,0,,jordan-howard-2
845,Kameron McKnight*,Louisiana Tech,CUSA,14,15,32,2.1,7,2.3,18,281,15.6,3,20.1,33,313,9.5,10,,kameron-mcknight-1
846,Rafael Araujo-Lopes*,Pitt,ACC,13,6,32,5.3,0,2.5,3,36,12.0,0,2.8,9,68,7.6,0,,rafael-araujo-lopes-1
847,Vinny Emanuele*,Ohio,MAC,2,11,32,2.9,0,16.0,1,7,7.0,0,3.5,12,39,3.3,0,,vinny-emanuele-1
848,Christian Alexander,Florida International,CUSA,5,12,31,2.6,1,6.2,0,0,,0,0.0,12,31,2.6,1,,christian-alexander-1
849,Christian Blake,Northern Illinois,MAC,12,10,31,3.1,1,2.6,34,457,13.4,2,38.1,44,488,11.1,3,,christian-blake-1
850,Deontay Burnett*,USC,Pac-12,13,3,31,10.3,0,2.4,56,622,11.1,7,47.8,59,653,11.1,7,,deontay-burnett-1
851,Deshaunte Jones,Iowa State,Big 12,12,4,31,7.8,0,2.6,37,536,14.5,6,44.7,41,567,13.8,6,,deshaunte-jones-1
852,John O'Korn*,Michigan,Big Ten,8,12,31,2.6,0,3.9,0,0,,0,0.0,12,31,2.6,0,,john-okorn-1
853,Matt Morin,Arizona,Pac-12,11,6,31,5.2,0,2.8,0,0,,0,0.0,6,31,5.2,0,,matt-morin-1
854,Nick Schuessler*,Clemson,ACC,6,9,31,3.4,0,5.2,0,0,,0,0.0,9,31,3.4,0,,nick-schuessler-1
855,Darrel Colbert,SMU,American,5,8,30,3.8,0,6.0,0,0,,0,0.0,8,30,3.8,0,,darrel-colbert-1
856,Ishmael Adams,UCLA,Pac-12,11,7,30,4.3,0,2.7,20,178,8.9,0,16.2,27,208,7.7,0,,ishmael-adams-1
857,Michael Adkins II*,Colorado,Pac-12,3,10,30,3.0,1,10.0,1,1,1.0,0,0.3,11,31,2.8,1,,michael-adkins-ii-1
858,Seth Collins,Oregon State,Pac-12,10,15,30,2.0,0,3.0,36,418,11.6,1,41.8,51,448,8.8,1,,seth-collins-1
859,Tanner Gentry*,Wyoming,MWC,14,6,30,5.0,0,2.1,72,1326,18.4,14,94.7,78,1356,17.4,14,,tanner-gentry-1
860,Tario Fuller,Purdue,Big Ten,10,10,30,3.0,0,3.0,5,51,10.2,0,5.1,15,81,5.4,0,,tario-fuller-1
861,Tyre'Oune Holmes*,Southern Mississippi,CUSA,9,4,30,7.5,0,3.3,8,102,12.8,0,11.3,12,132,11.0,0,,tyreoune-holmes-1
862,Tyrone Nelson,UTEP,CUSA,3,7,30,4.3,0,10.0,3,26,8.7,0,8.7,10,56,5.6,0,,tyrone-nelson-2
863,Akeel Lynch,Nevada,MWC,4,8,29,3.6,0,7.3,0,0,,0,0.0,8,29,3.6,0,,akeel-lynch-1
864,Anthony Gargiulo*,Navy,American,3,9,29,3.2,1,9.7,0,0,,0,0.0,9,29,3.2,1,,anthony-gargiulo-1
865,Armond Weh-Weh*,Arkansas State,Sun Belt,2,5,29,5.8,1,14.5,0,0,,0,0.0,5,29,5.8,1,,armond-weh-weh-1
866,Bentlee Critcher*,Appalachian State,Sun Belt,13,2,29,14.5,0,2.2,0,0,,0,0.0,2,29,14.5,0,,bentlee-critcher-1
867,Brian O'Neill*,Pitt,ACC,13,2,29,14.5,2,2.2,0,0,,0,0.0,2,29,14.5,2,,brian-oneill-1
868,C.J. Jones*,UCF,American,3,6,29,4.8,1,9.7,0,0,,0,0.0,6,29,4.8,1,,cj-jones-6
869,Danny Mattingly,Oregon,Pac-12,12,1,29,29.0,0,2.4,0,0,,0,0.0,1,29,29.0,0,,danny-mattingly-1
870,Denzell Evans,Kansas,Big 12,12,17,29,1.7,0,2.4,0,0,,0,0.0,17,29,1.7,0,,denzell-evans-1
871,Desmond Anderson*,Middle Tennessee State,CUSA,10,1,29,29.0,0,2.9,10,135,13.5,1,13.5,11,164,14.9,1,,desmond-anderson-1
872,Dimetrios Mason,Missouri,SEC,11,2,29,14.5,0,2.6,47,587,12.5,3,53.4,49,616,12.6,3,,dimetrios-mason-1
873,D.K. Buford,Ole Miss,SEC,10,10,29,2.9,0,2.9,0,0,,0,0.0,10,29,2.9,0,,dk-buford-1
874,Elijah Holyfield*,Georgia,SEC,5,6,29,4.8,0,5.8,1,19,19.0,0,3.8,7,48,6.9,0,,elijah-holyfield-1
875,Markis McCray,Louisiana-Monroe,Sun Belt,12,3,29,9.7,0,2.4,8,53,6.6,0,4.4,11,82,7.5,0,,markis-mccray-1
876,Sean Wale*,Boise State,MWC,13,1,29,29.0,0,2.2,0,0,,0,0.0,1,29,29.0,0,,sean-wale-1
877,Shelton Gibson*,West Virginia,Big 12,13,2,29,14.5,0,2.2,43,951,22.1,8,73.2,45,980,21.8,8,,shelton-gibson-1
878,Antonio Williams*,Ohio State,Big Ten,1,6,28,4.7,0,28.0,0,0,,0,0.0,6,28,4.7,0,,antonio-williams-1
879,Damien Lewis*,Auburn,SEC,2,8,28,3.5,0,14.0,0,0,,0,0.0,8,28,3.5,0,,damien-lewis-1
880,Donaven Tennyson*,Vanderbilt,SEC,8,4,28,7.0,0,3.5,0,0,,0,0.0,4,28,7.0,0,,donaven-tennyson-1
881,James Washington*,Oklahoma State,Big 12,13,4,28,7.0,0,2.2,71,1380,19.4,10,106.2,75,1408,18.8,10,,james-washington-5
882,Quinton White,Texas Tech,Big 12,11,13,28,2.2,1,2.5,13,117,9.0,0,10.6,26,145,5.6,1,,quinton-white-1
883,Ray-Ray McCloud*,Clemson,ACC,14,5,28,5.6,0,2.0,49,472,9.6,2,33.7,54,500,9.3,2,,ray-ray-mccloud-1
884,Taylor Cornelius*,Oklahoma State,Big 12,2,6,28,4.7,1,14.0,0,0,,0,0.0,6,28,4.7,1,,taylor-cornelius-1
885,Trey Smith*,Louisville,ACC,6,11,28,2.5,0,4.7,0,0,,0,0.0,11,28,2.5,0,,trey-smith-4
886,Chad Banschbach,Cincinnati,American,10,9,27,3.0,0,2.7,3,11,3.7,0,1.1,12,38,3.2,0,,chad-banschbach-1
887,Darren Andrews,UCLA,Pac-12,12,2,27,13.5,1,2.3,55,709,12.9,4,59.1,57,736,12.9,5,,darren-andrews-1
888,Deshawn McClease*,Virginia Tech,ACC,1,8,27,3.4,0,27.0,0,0,,0,0.0,8,27,3.4,0,,deshawn-mcclease-1
889,Dontavian Lee*,Mississippi State,SEC,13,7,27,3.9,0,2.1,2,5,2.5,0,0.4,9,32,3.6,0,,dontavian-lee-1
890,Eric Keena*,North Texas,CUSA,13,2,27,13.5,0,2.1,0,0,,0,0.0,2,27,13.5,0,,eric-keena-1
891,Ishmael Zamora*,Baylor,Big 12,10,5,27,5.4,0,2.7,63,809,12.8,8,80.9,68,836,12.3,8,,ishmael-zamora-1
892,Jauan Jennings*,Tennessee,SEC,13,5,27,5.4,0,2.1,40,580,14.5,7,44.6,45,607,13.5,7,,jauan-jennings-1
893,JuJu Smith-Schuster*,USC,Pac-12,13,5,27,5.4,0,2.1,70,914,13.1,10,70.3,75,941,12.5,10,,juju-smith-1
894,Rhashid Bonnette*,Louisiana Tech,CUSA,14,4,27,6.8,0,1.9,19,183,9.6,0,13.1,23,210,9.1,0,,rhashid-bonnette-1
895,Tyler Tutt,Texas State,Sun Belt,5,12,27,2.3,0,5.4,2,2,1.0,0,0.4,14,29,2.1,0,,tyler-tutt-1
896,Andrew Zuckerman,Tulane,American,3,4,26,6.5,0,8.7,0,0,,0,0.0,4,26,6.5,0,,andrew-zuckerman-1
897,Blake Wright,Nevada,MWC,10,7,26,3.7,0,2.6,0,0,,0,0.0,7,26,3.7,0,,blake-wright-1
898,David Yancey,Purdue,Big Ten,9,7,26,3.7,0,2.9,6,74,12.3,0,8.2,13,100,7.7,0,,david-yancey-2
899,Dominique Reed*,Arkansas,SEC,13,5,26,5.2,0,2.0,16,255,15.9,2,19.6,21,281,13.4,2,,dominique-reed-1
900,Foster Sawyer*,Texas Christian,Big 12,9,14,26,1.9,0,2.9,0,0,,0,0.0,14,26,1.9,0,,foster-sawyer-1
901,Nacarius Fant*,Western Kentucky,CUSA,9,6,26,4.3,0,2.9,29,407,14.0,2,45.2,35,433,12.4,2,,nacarius-fant-1
902,Solomon Vault*,Northwestern,Big Ten,13,11,26,2.4,0,2.0,15,164,10.9,2,12.6,26,190,7.3,2,,solomon-vault-1
903,Trevon Sands*,South Florida,American,9,8,26,3.3,0,2.9,0,0,,0,0.0,8,26,3.3,0,,trevon-sands-1
904,Chris Frey,Michigan State,Big Ten,12,1,25,25.0,0,2.1,0,0,,0,0.0,1,25,25.0,0,,chris-frey-1
905,Corey Dauphine,Texas Tech,Big 12,3,2,25,12.5,1,8.3,0,0,,0,0.0,2,25,12.5,1,,corey-dauphine-1
906,Jeff Badet*,Kentucky,SEC,13,1,25,25.0,0,1.9,31,670,21.6,4,51.5,32,695,21.7,4,,jeff-badet-1
907,J'Vonte Herrod*,Middle Tennessee State,CUSA,1,7,25,3.6,0,25.0,1,2,2.0,0,2.0,8,27,3.4,0,,jvonte-herrod-1
908,Matt Vandeberg*,Iowa,Big Ten,4,1,25,25.0,0,6.3,19,284,14.9,3,71.0,20,309,15.5,3,,matt-vandeberg-1
909,Montay Crockett,Georgia Southern,Sun Belt,12,2,25,12.5,0,2.1,24,339,14.1,1,28.3,26,364,14.0,1,,montay-crockett-1
910,Wes Brown*,Maryland,Big Ten,8,33,25,0.8,0,3.1,8,136,17.0,0,17.0,41,161,3.9,0,,wes-brown-2
911,Cedric Jordan-Williams*,UCF,American,1,6,24,4.0,0,24.0,0,0,,0,0.0,6,24,4.0,0,,cedric-jordan-williams-1
912,Darius Paulk*,South Carolina,SEC,11,3,24,8.0,0,2.2,0,0,,0,0.0,3,24,8.0,0,,darius-paulk-1
913,Zay Jones,East Carolina,American,12,4,24,6.0,0,2.0,158,1746,11.1,8,145.5,162,1770,10.9,8,,isaiah-jones-2
914,Joseph Davidson,Bowling Green,MAC,12,1,24,24.0,0,2.0,0,0,,0,0.0,1,24,24.0,0,,joseph-davidson-1
915,Myron Gailliard,SMU,American,9,12,24,2.0,0,2.7,5,54,10.8,0,6.0,17,78,4.6,0,,myron-gailliard-1
916,Olamide Zaccheaus,Virginia,ACC,12,3,24,8.0,0,2.0,51,584,11.5,7,48.7,54,608,11.3,7,,olamide-zaccheaus-1
917,Tony Gaiter IV,Florida International,CUSA,9,2,24,12.0,0,2.7,12,101,8.4,0,11.2,14,125,8.9,0,,tony-gaiter-iv-1
918,Andre Flakes*,Troy,Sun Belt,13,5,23,4.6,1,1.8,10,100,10.0,2,7.7,15,123,8.2,3,,andre-flakes-1
919,Jordan Gehrke*,Colorado,Pac-12,3,1,23,23.0,0,7.7,0,0,,0,0.0,1,23,23.0,0,,jordan-gehrke-1
920,Preston Heard*,Baylor,Big 12,3,4,23,5.8,0,7.7,0,0,,0,0.0,4,23,5.8,0,,preston-heard-1
921,Shawn Furlow,East Carolina,American,12,5,23,4.6,0,1.9,1,1,1.0,0,0.1,6,24,4.0,0,,shawn-furlow-1
922,Auston Anderson*,Northwestern,Big Ten,4,7,22,3.1,0,5.5,0,0,,0,0.0,7,22,3.1,0,,auston-anderson-1
923,Brisly Estime,Syracuse,ACC,12,4,22,5.5,0,1.8,48,518,10.8,3,43.2,52,540,10.4,3,,brisly-estime-1
924,C.J Sanders,Notre Dame,Ind,12,4,22,5.5,0,1.8,24,293,12.2,2,24.4,28,315,11.3,2,,cj-sanders-1
925,Darnell Mooney,Tulane,American,12,4,22,5.5,0,1.8,24,267,11.1,2,22.3,28,289,10.3,2,,darnell-mooney-1
926,Gunnar Amos*,Idaho,Sun Belt,8,6,22,3.7,1,2.8,0,0,,0,0.0,6,22,3.7,1,,gunnar-amos-1
927,Ikaika Woolsey*,Hawaii,MWC,12,20,22,1.1,1,1.8,0,0,,0,0.0,20,22,1.1,1,,ikaika-woolsey-1
928,Kelly Bryant*,Clemson,ACC,4,12,22,1.8,1,5.5,0,0,,0,0.0,12,22,1.8,1,,kelly-bryant-1
929,Logan Moragne*,Arkansas State,Sun Belt,12,9,22,2.4,0,1.8,1,11,11.0,0,0.9,10,33,3.3,0,,logan-moragne-1
930,Nicodem Pierre,Duke,ACC,5,7,22,3.1,0,4.4,0,0,,0,0.0,7,22,3.1,0,,nicodem-pierre-1
931,Sergio Bailey*,Eastern Michigan,MAC,13,3,22,7.3,0,1.7,60,868,14.5,7,66.8,63,890,14.1,7,,sergio-bailey-1
932,Tanner Mangum*,BYU,Ind,5,9,22,2.4,1,4.4,0,0,,0,0.0,9,22,2.4,1,,tanner-mangum-1
933,Anthony Taylor,Texas State,Sun Belt,11,11,21,1.9,1,1.9,3,20,6.7,0,1.8,14,41,2.9,1,,anthony-taylor-7
934,Calvin Ridley*,Alabama,SEC,15,5,21,4.2,1,1.4,72,769,10.7,7,51.3,77,790,10.3,8,,calvin-ridley-1
935,Chase Alford*,Georgia Tech,ACC,13,1,21,21.0,0,1.6,0,0,,0,0.0,1,21,21.0,0,,chase-alford-1
936,Delton Williams,Michigan State,Big Ten,12,7,21,3.0,0,1.8,3,47,15.7,1,3.9,10,68,6.8,1,,delton-williams-1
937,Ronnie Moore,Bowling Green,MAC,12,8,21,2.6,2,1.8,42,513,12.2,1,42.8,50,534,10.7,3,,ronnie-moore-3
938,Alijah Lee*,Washington State,Pac-12,11,4,20,5.0,1,1.8,1,0,0.0,0,0.0,5,20,4.0,1,,alijah-lee-1
939,Cedric Chambers*,Auburn,SEC,1,4,20,5.0,0,20.0,0,0,,0,0.0,4,20,5.0,0,,cedric-chambers-1
940,Dameon Gamblin*,New Mexico,MWC,12,6,20,3.3,0,1.7,23,254,11.0,3,21.2,29,274,9.4,3,,dameon-gamblin-1
