Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Tyler Badie,Broncos,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$273,852 ","$273,852 ",$0 
Jermar Jefferson,Lions,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$280,964 ","$280,964 ",$0 
Chris Rodriguez Jr.,Commanders,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$280,964 ","$280,964 ",$0 
Tyrion Davis-Price,Eagles,2024,1,,"$267,222 ","$267,222 ",$0 ,,0.10%,,"$285,114 ","$285,114 ",$0 
Jaret Patterson,Chargers,2024,1,,"$267,222 ","$267,222 ",$0 ,,0.10%,,"$285,114 ","$285,114 ",$0 
John Kelly,Ravens,2024,1,,"$271,111 ","$271,111 ",$0 ,,0.10%,,"$289,263 ","$289,263 ",$0 
Tyler Badie,Broncos,2024,1,,"$288,334 ","$288,334 ",$0 ,,0.10%,,"$307,639 ","$307,639 ",$0 
Sincere McCormick,Raiders,2024,1,,"$288,334 ","$288,334 ",$0 ,,0.10%,,"$307,639 ","$307,639 ",$0 
Chris Collier,Ravens,2024,1,,"$288,334 ","$288,334 ",$0 ,,0.10%,,"$307,639 ","$307,639 ",$0 
Dante Miller,Giants,2024,1,,"$288,334 ","$288,334 ",$0 ,,0.10%,,"$307,639 ","$307,639 ",$0 
Chris Rodriguez Jr.,Commanders,2024,1,,"$301,666 ","$301,666 ",$0 ,,0.10%,,"$321,864 ","$321,864 ",$0 
Jermar Jefferson,Lions,2024,1,,"$301,666 ","$301,666 ",$0 ,,0.10%,,"$321,864 ","$321,864 ",$0 
Ke'Shawn Vaughn,49ers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Mark Glowinski,Colts,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
"Anthony McFarland, Jr.",Dolphins,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Salvon Ahmed,Colts,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Ezekiel Elliott,Chargers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Royce Freeman,Rams,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Jakob Johnson,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Gary Brightwell,CIN/CLE,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Jakob Johnson,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Salvon Ahmed,Broncos,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Jakob Johnson,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Ke'Shawn Vaughn,49ers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
La'Mical Perine,Steelers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Royce Freeman,Bears,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Jakob Johnson,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Royce Freeman,Browns,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Gary Brightwell,Browns,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Jakob Johnson,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Myles Gaskin,Jaguars,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Gary Brightwell,Browns,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Ke'Shawn Vaughn,49ers,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Tony Jones,Cardinals,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
Joshua Kelley,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$322,647 ","$322,647 ",$0 
John Kelly,Ravens,2024,1,,"$317,222 ","$317,222 ",$0 ,,0.10%,,"$338,461 ","$338,461 ",$0 
Sincere McCormick,Raiders,2024,1,,"$320,001 ","$320,001 ",$0 ,,0.10%,,"$341,426 ","$341,426 ",$0 
Chris Collier,Ravens,2024,1,,"$320,001 ","$320,001 ",$0 ,,0.10%,,"$341,426 ","$341,426 ",$0 
Clyde Edwards-Helaire,Saints,2024,1,,"$324,000 ","$324,000 ",$0 ,,0.10%,,"$345,693 ","$345,693 ",$0 
Chris Rodriguez Jr.,Commanders,2024,1,,"$339,999 ","$339,999 ",$0 ,,0.10%,,"$362,763 ","$362,763 ",$0 
Michael Carter,Cardinals,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Myles Gaskin,Vikings,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Mike Boone,Panthers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Boston Scott,Steelers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Patrick Taylor,49ers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Jonathan Ward,Steelers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
La'Mical Perine,Packers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Mike Boone,Panthers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Kareem Hunt,Chiefs,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Myles Gaskin,Vikings,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Mike Boone,Panthers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Myles Gaskin,Vikings,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Jonathan Ward,Steelers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Kene Nwangwu,Jets,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Mike Boone,Panthers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Myles Gaskin,Vikings,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Dalvin Cook,Cowboys,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$409,070 ","$409,070 ",$0 
Michael Carter,Cardinals,2024,1,,"$420,711 ","$420,711 ",$0 ,,0.20%,,"$448,879 ","$448,879 ",$0 
Kene Nwangwu,Jets,2024,1,,"$420,711 ","$420,711 ",$0 ,,0.20%,,"$448,879 ","$448,879 ",$0 
Jonathan Ward,Steelers,2024,1,,"$424,600 ","$424,600 ",$0 ,,0.20%,,"$453,029 ","$453,029 ",$0 
Mike Boone,Panthers,2024,1,,"$424,600 ","$424,600 ",$0 ,,0.20%,,"$453,029 ","$453,029 ",$0 
Myles Gaskin,Vikings,2024,1,,"$424,600 ","$424,600 ",$0 ,,0.20%,,"$453,029 ","$453,029 ",$0 
Dalvin Cook,Cowboys,2024,1,,"$429,322 ","$429,322 ",$0 ,,0.20%,,"$458,067 ","$458,067 ",$0 
Michael Carter,Cardinals,2024,1,,"$458,022 ","$458,022 ",$0 ,,0.20%,,"$488,688 ","$488,688 ",$0 
Myles Gaskin,Vikings,2024,1,,"$465,800 ","$465,800 ",$0 ,,0.20%,,"$496,987 ","$496,987 ",$0 
Jonathan Ward,Steelers,2024,1,,"$465,800 ","$465,800 ",$0 ,,0.20%,,"$496,987 ","$496,987 ",$0 
Dalvin Cook,Cowboys,2024,1,,"$475,244 ","$475,244 ",$0 ,,0.20%,,"$507,063 ","$507,063 ",$0 
George Holani,Seahawks,2024,1,,"$506,112 ","$506,112 ",$0 ,,0.20%,,"$539,998 ","$539,998 ",$0 
Jonathan Ward,Steelers,2024,1,,"$507,000 ","$507,000 ",$0 ,,0.20%,,"$540,946 ","$540,946 ",$0 
George Holani,Seahawks,2024,1,,"$537,779 ","$537,779 ",$0 ,,0.20%,,"$573,785 ","$573,785 ",$0 
Ellis Merriweather,Packers,2024,1,,"$795,000 ","$795,000 ",$0 ,,0.30%,,"$848,228 ","$848,228 ",$0 
