 
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
378,Anderson Castle*,Appalachian State,Sun Belt,14,47,236,5.0,3,16.9,0,0,,0,0.0,47,236,5.0,3,,anderson-castle-1
379,Jamontez Woods,Troy,Sun Belt,12,47,236,5.0,6,19.7,16,88,5.5,1,7.3,63,324,5.1,7,,jamontez-woods-1
380,Kyle Monangai*,Rutgers,Big Ten,11,62,236,3.8,4,21.5,10,68,6.8,0,6.2,72,304,4.2,4,,kyle-monangai-1
381,Challen Faamatau*,Maryland,Big Ten,9,56,235,4.2,3,26.1,7,81,11.6,0,9.0,63,316,5.0,3,,challen-faamatau-1
382,John Gentry*,Utah State,MWC,14,66,235,3.6,0,16.8,5,33,6.6,0,2.4,71,268,3.8,0,,john-gentry-1
383,Tyson Riley*,Army,Ind,10,50,232,4.6,2,23.2,0,0,,0,0.0,50,232,4.6,2,,tyson-riley-1
384,Alan Lamar,Arkansas State,Sun Belt,12,62,231,3.7,1,19.3,22,119,5.4,0,9.9,84,350,4.2,1,,alan-lamar-1
385,Logan Diggs*,Notre Dame,Ind,8,52,230,4.4,3,28.8,6,56,9.3,1,7.0,58,286,4.9,4,,logan-diggs-1
386,Marshawn Lloyd*,South Carolina,SEC,12,64,228,3.6,1,19.0,3,44,14.7,0,3.7,67,272,4.1,1,,marshawn-lloyd-1
387,AJ Green*,Arkansas,SEC,12,47,227,4.8,1,18.9,7,84,12.0,1,7.0,54,311,5.8,2,,aj-green-6
388,Davion Ervin-Poindexter,Indiana,Big Ten,12,44,227,5.2,1,18.9,4,26,6.5,0,2.2,48,253,5.3,1,,davion-ervin-poindexter-1
389,Chris Tyree*,Notre Dame,Ind,12,56,222,4.0,1,18.5,24,258,10.8,2,21.5,80,480,6.0,3,,chris-tyree-1
390,Dawson Downing*,Missouri,SEC,14,38,221,5.8,1,15.8,8,77,9.6,0,5.5,46,298,6.5,1,,dawson-downing-1
391,Jordan Moore,Duke,ACC,10,44,221,5.0,3,22.1,0,0,,0,0.0,44,221,5.0,3,,jordan-moore-5
392,Omar Fattah*,Air Force,MWC,10,49,220,4.5,0,22.0,0,0,,0,0.0,49,220,4.5,0,,omar-fattah-1
393,Steven Anderson*,Tulsa,American,11,45,219,4.9,2,19.9,0,0,,0,0.0,45,219,4.9,2,,steven-anderson-1
394,Amauri Pesek-Hickson,Kansas,Big 12,11,60,218,3.6,0,19.8,5,34,6.8,0,3.1,65,252,3.9,0,,amauri-pesek-hickson-1
395,Andrew Van Buren,Boise State,MWC,12,73,218,3.0,9,18.2,7,28,4.0,0,2.3,80,246,3.1,9,,andrew-van-buren-1
396,Bryce Carpenter*,Coastal Carolina,Sun Belt,11,54,217,4.0,3,19.7,0,0,,0,0.0,54,217,4.0,3,,bryce-carpenter-1
397,Shaun Peterson Jr.,Florida International,CUSA,11,58,217,3.7,2,19.7,3,22,7.3,0,2.0,61,239,3.9,2,,shaun-peterson-jr-1
398,Shaun Peterson Jr.,Florida International,CUSA,11,58,217,3.7,2,19.7,3,22,7.3,0,2.0,61,239,3.9,2,,shaun-peterson-jr-2
399,Greg Garner,Louisiana Tech,CUSA,9,54,216,4.0,3,24.0,2,37,18.5,0,4.1,56,253,4.5,3,,greg-garner-1
