Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,-9999
245,Zach Zenner,28,2TM,RB,4,0,3,-2,0,-2,-0.7,0,0.0,0,,,ZennZa00
245,Zach Zenner,28,NOR,RB,1,0,1,1,0,1,1.0,0,0.0,0,,,ZennZa00
245,Zach Zenner,28,ARI,RB,3,0,2,-3,0,-3,-1.5,0,0.0,0,,,ZennZa00
246,Nelson Agholor,26,PHI,WR,11,10,2,7,1,0,0.0,7,3.5,0,,,AghoNe00
247,Matt Barkley,29,BUF,QB,2,0,2,-4,0,-4,-2.0,0,0.0,0,,,BarkMa00
248,Jordan Berry,28,PIT,P,16,0,2,-8,0,-8,-4.0,0,0.0,0,,,BerrJo00
249,Devontae Booker,27,DEN,RB,16,0,2,9,0,0,0.0,9,4.5,1,2.0,,BookDe00
250,Blake Bortles,27,LAR,QB,3,0,2,-9,0,-9,-4.5,0,0.0,0,,,BortBl00
251,John Brown,29,BUF,WR,15,15,2,7,0,5,2.5,2,1.0,0,,,BrowJo02
252,DJ Chark,23,JAX,WR,15,14,2,20,1,16,8.0,4,2.0,0,,PB,CharDJ00
253,Keke Coutee,22,HOU,WR,9,4,2,14,2,14,7.0,0,0.0,0,,,CoutKe00
254,James Develin,31,NWE,RB,2,2,2,3,1,3,1.5,0,0.0,0,,,DeveJa00
255,Robert Foster,25,BUF,WR,13,2,2,29,1,27,13.5,2,1.0,0,,,FostRo01
256,Mike Glennon,30,OAK,QB,2,0,2,0,0,0,0.0,0,0.0,0,,,GlenMi00
257,DeAndre Hopkins,27,HOU,WR,15,15,2,18,2,15,7.5,3,1.5,0,,PBAP-1,HopkDe00
258,Richie James,24,SFO,WR,16,1,2,-1,0,-3,-1.5,2,1.0,1,2.0,,JameRi00
259,Julio Jones,30,ATL,WR,15,15,2,-3,0,-4,-2.0,1,0.5,0,,PBAP-2,JoneJu02
260,Marvin Jones,29,DET,WR,13,11,2,0,0,-1,-0.5,1,0.5,0,,,JoneMa02
261,Cooper Kupp,26,LAR,WR,16,14,2,4,0,4,2.0,0,0.0,0,,AP CPoY-5,KuppCo00
262,Anthony Levine,32,BAL,DB,16,0,2,62,2,62,31.0,0,0.0,0,,,LeviAn00
263,Josh McCown,40,PHI,QB,3,0,2,-2,0,-2,-1.0,0,0.0,0,,,McCoJo01
264,Colt McCoy,33,WAS,QB,1,1,2,14,1,14,7.0,0,0.0,0,,,McCoCo00
265,D.K. Metcalf,22,SEA,WR,16,15,2,11,0,4,2.0,7,3.5,2,1.0,,MetcDK00
266,Scott Miller,22,TAM,WR,10,2,2,16,1,6,3.0,10,5.0,0,,,MillSc01
267,Ryan Nall,24,CHI,RB,8,0,2,8,1,3,1.5,5,2.5,0,,,NallRy00
268,Zach Pascal,25,IND,WR,16,13,2,16,1,12,6.0,4,2.0,0,,,PascZa00
269,Breshad Perriman,26,TAM,WR,14,4,2,16,1,15,7.5,1,0.5,0,,,PerrBr02
270,Calvin Ridley,25,ATL,WR,13,10,2,34,2,30,15.0,4,2.0,0,,,RidlCa00
271,Willie Snead,27,BAL,WR,16,11,2,2,0,2,1.0,0,0.0,0,,,SneaWi00
272,Jarrett Stidham,23,NWE,QB,3,0,2,-2,0,-2,-1.0,0,0.0,0,,,StidJa00
273,Marquez Valdes-Scantling,25,GNB,WR,16,10,2,9,0,6,3.0,3,1.5,0,,,ValdMa00
274,Darren Waller,27,OAK,TE,16,16,2,5,0,2,1.0,3,1.5,0,,AP CPoY-3,WallDa01
275,Sammy Watkins,26,KAN,WR,14,13,2,12,1,10,5.0,2,1.0,0,,,WatkSa00
276,De'Anthony Thomas,26,2TM,RB,14,0,2,5,1,2,1.0,3,1.5,0,,,ThomDe05
276,De'Anthony Thomas,26,KAN,RB,6,0,1,4,1,2,2.0,2,2.0,0,,,ThomDe05
276,De'Anthony Thomas,26,BAL,RB,8,0,1,1,0,0,0.0,1,1.0,0,,,ThomDe05
277,Jamal Agnew,24,DET,DB,13,0,1,9,1,6,6.0,3,3.0,0,,,AgneJa00
278,Geronimo Allison,25,GNB,WR,16,6,1,7,0,5,5.0,2,2.0,0,,,AlliGe01
279,Bryan Anger,31,HOU,P,14,0,1,-5,0,-5,-5.0,0,0.0,0,,,AngeBr00
280,Andrew Beck,23,DEN,TE,16,6,1,3,1,2,2.0,1,1.0,0,,,BeckAn01
281,Antonio Brown,31,NWE,WR,1,0,1,5,1,5,5.0,0,0.0,0,,,BrowAn04
282,Derek Carrier,29,OAK,TE,16,4,1,27,1,27,27.0,0,0.0,0,,,CarrDe00
283,Robbie Chosen,26,NYJ,WR,16,15,1,4,0,4,4.0,0,0.0,0,,,AndeRo04
284,Keelan Cole,26,JAX,WR,16,1,1,6,0,1,1.0,5,5.0,0,,,ColeKe00
285,Amari Cooper,25,DAL,WR,16,16,1,6,0,5,5.0,1,1.0,0,,PB,CoopAm00
286,Pharoh Cooper,24,ARI,WR,12,1,1,2,0,1,1.0,1,1.0,0,,,CoopPh00
287,Jamison Crowder,26,NYJ,WR,16,12,1,4,0,0,0.0,4,4.0,1,1.0,,CrowJa00
288,Will Dissly,23,SEA,TE,6,6,1,7,0,5,5.0,2,2.0,0,,,DissWi00
289,Tyler Ervin,26,GNB,RB,4,0,1,10,1,3,3.0,7,7.0,1,1.0,,ErviTy00
290,Gerald Everett,25,LAR,TE,13,2,1,0,0,0,0.0,0,0.0,0,,,EverGe00
291,Isaiah Ford,23,MIA,WR,8,0,1,11,1,0,0.0,11,11.0,1,1.0,,FordIs00
292,Bennie Fowler,28,NYG,WR,8,2,1,20,1,17,17.0,3,3.0,0,,,FowlBe00
293,John Franklin,25,TAM,DB,1,0,1,11,1,9,9.0,2,2.0,0,,,FranJo04
294,Chris Godwin,23,TAM,WR,14,14,1,8,0,0,0.0,8,8.0,1,1.0,PBAP-2,GodwCh00
295,Marquise Goodwin,29,SFO,WR,9,6,1,15,1,15,15.0,0,0.0,0,,,GoodMa00
296,Josh Gordon,28,NWE,WR,6,6,1,1,0,1,1.0,0,0.0,0,,,GordJo02
297,Matt Haack,25,MIA,P,16,0,1,2,1,2,2.0,0,0.0,0,,,HaacMa00
298,Marvin Hall,26,DET,WR,9,0,1,7,0,4,4.0,3,3.0,0,,,HallMa02
299,Erik Harris,29,OAK,FS/SS,16,14,1,4,1,4,4.0,0,0.0,0,,,HarrEr00
300,Johnny Holton,29,PIT,WR,16,3,1,9,1,7,7.0,2,2.0,0,,,HoltJo00
301,Adam Humphries,26,TEN,WR,12,3,1,1,0,1,1.0,0,0.0,0,,,HumpAd00
302,Andy Janovich,26,DEN,RB,7,3,1,1,1,0,0.0,1,1.0,0,,,JanoAn00
303,Alshon Jeffery,29,PHI,WR,10,10,1,2,1,1,1.0,1,1.0,0,,,JeffAl00
304,KeeSean Johnson,23,ARI,WR,10,4,1,3,0,3,3.0,0,0.0,0,,,JohnKe07
305,Olabisi Johnson,22,MIN,WR,16,6,1,6,0,4,4.0,2,2.0,0,,,JohnOl00
306,Colin Jones,32,CAR,DB,16,0,1,5,1,5,5.0,0,0.0,0,,,JoneCo01
307,Zay Jones,24,OAK,WR,10,7,1,3,0,3,3.0,0,0.0,0,,,JoneZa00
308,Travis Kelce,30,KAN,TE,16,16,1,4,1,3,3.0,1,1.0,0,,PBAP-2,KelcTr00
309,Brett Kern,33,TEN,P,16,0,1,0,0,0,0.0,0,0.0,0,,PBAP-1,KernBr20
310,Dawson Knox,23,BUF,TE,15,11,1,9,1,6,6.0,3,3.0,0,,,KnoxDa00
311,Jarvis Landry,27,CLE,WR,16,16,1,10,1,9,9.0,1,1.0,0,,PB,LandJa00
312,Allen Lazard,24,GNB,WR,16,3,1,21,1,15,15.0,6,6.0,1,1.0,,LazaAl00
313,Marqise Lee,28,JAX,WR,6,1,1,1,0,1,1.0,0,0.0,0,,,LeexMa00
314,Vance McDonald,29,PIT,TE,14,14,1,2,0,0,0.0,2,2.0,0,,,McDoVa00
315,Trace McSorley,24,BAL,QB,1,0,1,1,1,0,0.0,1,1.0,0,,,McSoTr00
316,Anthony Miller,25,CHI,WR,16,7,1,-1,0,-1,-1.0,0,0.0,0,,,MillAn02
317,Chris Moore,26,BAL,WR,14,1,1,0,0,0,0.0,0,0.0,0,,,MoorCh00
318,Alfred Morris,31,ARI,RB,1,0,1,4,1,2,2.0,2,2.0,0,,,MorrAl00
319,Quenton Nelson,23,IND,LG,16,16,1,0,0,0,0.0,0,0.0,0,,PBAP-1,NelsQu00
320,Kalif Raymond,25,TEN,WR,8,1,1,-5,0,-5,-5.0,0,0.0,0,,,RaymKa00
321,Paul Richardson,27,WAS,WR,10,6,1,0,0,0,0.0,0,0.0,0,,,RichPa01
322,Andre Roberts,31,BUF,WR,13,0,1,7,0,5,5.0,2,2.0,0,,PB,RobeAn00
323,Allen Robinson,26,CHI,WR,16,15,1,2,0,2,2.0,0,0.0,0,,,RobiAl02
324,Ben Roethlisberger,37,PIT,QB,2,2,1,7,0,7,7.0,0,0.0,0,,,RoetBe00
325,Chester Rogers,25,IND,WR,12,6,1,18,1,18,18.0,0,0.0,0,,,RogeCh02
326,Da'Mari Scott,24,NYG,WR,5,2,1,5,0,2,2.0,3,3.0,0,,,ScotDa02
327,Nick Scott,24,LAR,DB,16,0,1,6,0,6,6.0,0,0.0,0,,,ScotNi01
328,Golden Tate,31,NYG,WR,11,10,1,16,1,12,12.0,4,4.0,0,,,TateGo00
329,Michael Thomas,26,NOR,WR,16,15,1,-9,0,-9,-9.0,0,0.0,0,,PBAP-1AP OPoY-1,ThomMi05
330,Danny Vitale,26,GNB,RB,15,4,1,3,0,2,2.0,1,1.0,0,,,VitaDa00
331,Greg Ward,24,PHI,WR,7,3,1,5,0,5,5.0,0,0.0,0,,,WardGr02
332,Trevon Wesco,24,NYJ,FB,16,1,1,2,1,-1,-1.0,3,3.0,0,,,WescTr00
333,Mike Williams,25,LAC,WR,15,15,1,2,0,-1,-1.0,3,3.0,0,,,WillMi07
334,Jarius Wright,30,CAR,WR,16,9,1,-7,0,-7,-7.0,0,0.0,1,1.0,,WrigJa02
