Player,Position,Year,Team,SOS,Draft AV,Completions,Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Yards per Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Yards per Reception
Jordan Smith,N/A,Career Totals,,-2.5500000000000003,0.0,0,0,0,0,0,,1,18,0,,68,819,8,
Jordan Whittington,N/A,Career Totals,,5.836,0.0,0,0,0,0,0,,7,76,1,,141,1757,5,
Justin Jones,N/A,Career Totals,,3.39,14.0,0,0,0,0,0,,4,33,0,,0,0,0,
Keon Coleman,N/A,Career Totals,,4.56,0.0,0,0,0,0,0,,1,2,0,,115,1506,19,
Ladd McConkey,N/A,Career Totals,,5.036666666666666,0.0,0,0,0,0,0,,13,216,4,,119,1687,14,
Luke McCaffrey,N/A,Career Totals,,0.16999999999999993,0.0,88,152,921,5,10,,157,927,7,,131,1732,19,
Malachi Corley,N/A,Career Totals,,-4.365,0.0,0,0,0,0,0,,16,92,0,,259,3035,29,
Malik Nabers,N/A,Career Totals,,5.336666666666666,0.0,2,2,50,1,0,,6,29,0,,189,3003,21,
Marshawn Kneeland,N/A,Career Totals,,-5.04,0.0,0,0,0,0,0,,2,1,1,,0,0,0,
Marvin Harrison Jr.,N/A,Career Totals,,5.456666666666667,0.0,0,0,0,0,0,,4,58,1,,155,2613,31,
Nick Harris,N/A,Career Totals,,-2.67,4.0,0,0,0,0,0,,0,0,0,,1,4,1,
Payton Wilson,N/A,Career Totals,,1.0599999999999998,0.0,0,0,0,0,0,,2,12,0,,0,0,0,
Rome Odunze,N/A,Career Totals,,0.42000000000000015,0.0,0,0,0,0,0,,10,40,2,,214,3272,24,
Sione Vaki,N/A,Career Totals,,4.43,0.0,0,0,0,0,0,,42,317,2,,11,203,3,
Theo Johnson,N/A,Career Totals,,4.405,0.0,0,0,0,0,0,,0,0,0,,77,938,12,
Tip Reiman,N/A,Career Totals,,3.206666666666667,0.0,0,0,0,0,0,,0,0,0,,41,420,5,
Trey Benson,N/A,Career Totals,,2.75,0.0,0,0,0,0,0,,316,1918,24,,33,371,1,
Troy Franklin,N/A,Career Totals,,2.9666666666666663,0.0,0,0,0,0,0,,0,0,0,,160,2483,25,
Tyler Davis,N/A,Career Totals,,0.34199999999999997,0.0,3,4,58,0,0,,1,-6,0,,64,648,8,
Will Shipley,N/A,Career Totals,,3.08,0.0,1,1,2,1,0,,526,2747,31,,85,602,2,
Xavier Legette,N/A,Career Totals,,5.314,0.0,0,0,0,0,0,,16,12,0,,113,1678,12,
Xavier Worthy,N/A,Career Totals,,6.543333333333333,0.0,2,3,68,1,0,,7,56,0,,197,2755,26,
Zach Evans,N/A,Career Totals,,3.75,0.0,0,0,0,0,0,,342,2229,19,,32,340,2,
