Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
310,Jalen Cropper*,Fresno State,MWC,13,1,2,50.0,51,1,50.0,0,0.0,25.5,35.50,51.0,3.9,429.2,,jalen-cropper-1
311,Logan Fife*,Fresno State,MWC,1,7,13,53.8,51,1,7.7,1,7.7,3.9,2.00,7.3,51.0,96.8,,logan-fife-1
312,Evan Olaes,Colorado State,MWC,3,7,12,58.3,50,0,0.0,1,8.3,4.2,0.42,7.1,16.7,76.7,,evan-olaes-1
313,Jalen Mayden*,San Diego State,MWC,1,5,6,83.3,50,1,16.7,0,0.0,8.3,11.67,10.0,50.0,208.3,,jalen-mayden-1
314,Jaylen Henderson*,Fresno State,MWC,3,5,8,62.5,49,0,0.0,0,0.0,6.1,6.13,9.8,16.3,114.0,,jaylen-henderson-1
315,Xavier Hutchinson*,Iowa State,Big 12,13,1,1,100.0,49,1,100.0,0,0.0,49.0,69.00,49.0,3.8,841.6,,xavier-hutchinson-1
316,Ari Patu,Stanford,Pac-12,2,8,16,50.0,48,1,6.3,1,6.3,3.0,1.44,6.0,24.0,83.3,,ari-patu-1
317,Jack Sears,Boise State,MWC,4,2,6,33.3,48,0,0.0,1,16.7,8.0,0.50,24.0,12.0,67.2,,jack-sears-1
318,Will Haskell*,San Diego State,MWC,3,4,7,57.1,47,0,0.0,0,0.0,6.7,6.71,11.8,15.7,113.5,,will-haskell-2
319,Cam Fancher*,Marshall,CUSA,2,3,6,50.0,46,0,0.0,0,0.0,7.7,7.67,15.3,23.0,114.4,,cam-fancher-1
320,Isaiah Sanders,Stanford,Pac-12,11,3,6,50.0,46,0,0.0,0,0.0,7.7,7.67,15.3,4.2,114.4,,isaiah-sanders-1
321,Malik Hornsby*,Arkansas,SEC,7,5,12,41.7,46,0,0.0,0,0.0,3.8,3.83,9.2,6.6,73.9,,malik-hornsby-1
322,Amare Jones,Georgia Southern,Sun Belt,10,4,8,50.0,45,0,0.0,1,12.5,5.6,0.00,11.3,4.5,72.3,,amare-jones-1
323,Gavin Wimsatt*,Rutgers,Big Ten,4,9,21,42.9,45,0,0.0,2,9.5,2.1,-2.14,5.0,11.3,41.8,,gavin-wimsatt-1
324,Jacob Conover*,BYU,Ind,2,5,10,50.0,45,0,0.0,0,0.0,4.5,4.50,9.0,22.5,87.8,,jacob-conover-1
325,Austin Burton*,Purdue,Big Ten,7,5,7,71.4,44,0,0.0,0,0.0,6.3,6.29,8.8,6.3,124.2,,austin-burton-1
326,Cammon Cooper*,Washington State,Pac-12,4,4,7,57.1,44,0,0.0,1,14.3,6.3,-0.14,11.0,11.0,81.4,,cammon-cooper-1
327,Connor Genal,New Mexico,MWC,2,5,14,35.7,44,0,0.0,1,7.1,3.1,-0.07,8.8,22.0,47.8,,connor-genal-1
328,D.J. Stubbs*,Liberty,Ind,11,1,1,100.0,44,0,0.0,0,0.0,44.0,44.00,44.0,4.0,469.6,,dj-stubbs-1
