Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
503,Keyon Lesane,North Carolina State,ACC,10,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,keyon-lesane-1
504,Khaleb Hood*,Georgia Southern,Sun Belt,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,khaleb-hood-1
505,Kierston Harvey*,Georgia State,Sun Belt,3,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kierston-harvey-1
506,Kobay White*,Boston College,ACC,13,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,kobay-white-1
507,Lamical Perine*,Florida,SEC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,lamical-perine-1
508,Line Latu*,Eastern Michigan,MAC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,line-latu-1
509,Luke Whittemore,Troy,Sun Belt,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,luke-whittemore-1
510,Malik Williams*,Appalachian State,Sun Belt,14,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,malik-williams-2
511,Marlon Williams*,UCF,American,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,marlon-williams-5
512,McLane Mannix,Texas Tech,Big 12,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,mclane-mannix-1
513,Nate Needham,Bowling Green,MAC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,nate-needham-2
514,Nate Stewart,Akron,MAC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,nate-stewart-1
515,Patrick Taylor Jr.*,Memphis,American,6,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,patrick-taylor-jr-1
516,Presley Motes,Bowling Green,MAC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,presley-motes-1
517,Q' Drennan,New Mexico,MWC,5,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,q-drennan-1
518,Raykwon Anderson*,Appalachian State,Sun Belt,9,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,raykwon-anderson-1
519,Rex Culpepper,Syracuse,ACC,2,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,rex-culpepper-1
520,Roschon Johnson*,Texas,Big 12,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,roschon-johnson-1
521,Sam Loy,Arkansas,SEC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,sam-loy-1
522,Sheldon Jones,UTSA,CUSA,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,sheldon-jones-1
523,Shi Smith,South Carolina,SEC,10,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,shi-smith-1
524,Ta'Quan Roberson*,Penn State,Big Ten,1,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,taquan-roberson-1
525,Tayvion Robinson*,Virginia Tech,ACC,13,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,tayvion-robinson-1
526,Tayvone Bowers*,Wake Forest,ACC,4,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,tayvone-bowers-1
527,Thomas MacVittie,Kansas,Big 12,2,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,thomas-macvittie-1
528,Trenard Davis*,Illinois,Big Ten,4,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,trenard-davis-1
529,Trevor Bycznski*,Buffalo,MAC,1,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,trevor-bycznski-1
530,Treylon Burks,Arkansas,SEC,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,treylon-burks-1
531,Tyler Lytle,Colorado,Pac-12,3,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,tyler-lytle-1
532,Zach Potter,Army,Ind,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,zach-potter-2
533,Zay Flowers*,Boston College,ACC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,zay-flowers-1
534,Toa Taua*,Nevada,MWC,13,1,1,100.0,-1,0,0.0,0,0.0,-1.0,-1.00,-1.0,-0.1,91.6,,toa-taua-1
535,James Charles*,Florida Atlantic,CUSA,13,1,1,100.0,-2,0,0.0,0,0.0,-2.0,-2.00,-2.0,-0.2,83.2,,james-charles-1
